File,I(600V),I(800V),I(1000V),DepV,I(DepV)
N4789_21_LL_DIODE_GR_Irradiated_60C_0min,-0.0002042918,-0.0002510252,-0.000325152,1000,0.000325152
N4789_21_LL_DIODE_GR_Irradiated_60C_10min,-0.000202119,-0.0002483447,-0.0003210017,1000,0.0003210017
N4789_21_LL_DIODE_GR_Irradiated_60C_20min,-0.0001859197,-0.0002269356,-0.000295832,1000,0.000295832
N4789_21_LL_DIODE_GR_Irradiated_60C_30min,-0.000178066,-0.0002172822,-0.0002775854,1000,0.0002775854
N4789_21_LL_DIODE_GR_Irradiated_60C_40min,-0.0001779304,-0.0002155922,-0.0002744001,1000,0.0002744001
