#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 100000Hz:4.868280E-12
#34253_049_PSS_HM_XX_IrradSensor_Interstrip
#Date/Time: 4/20/2021 4:08:25 PM
#Sensor Name: 34253_049_PSS_HM_XX_IrradSensor
#Type: P
#Annealing Status: Not Irradiated
#Environment: RT
#Tester: Eric Spencer

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
1	3701794173.757185	3.598792	31.021158	29.105621	-4.660000E-9	5.918270E-12	-2.964276E-10	-2.964276E-10	-3.009698E-10	-3.078195E-10	-3.067903E-10	-3.108429E-10
2	3701794210.302988	3.660959	31.019353	29.125003	-4.660000E-9	5.974890E-12	-2.956385E-10	-2.983923E-10	-3.006455E-10	-3.035576E-10	-3.086830E-10	-3.120438E-10
3	3701794246.996693	3.586180	31.015727	29.132117	-4.660000E-9	5.989450E-12	-2.972749E-10	-2.991208E-10	-3.017367E-10	-3.061281E-10	-3.085236E-10	-3.122947E-10
4	3701794283.533305	3.591597	31.014499	29.172184	-4.660000E-9	5.992540E-12	-2.968940E-10	-3.007600E-10	-3.014664E-10	-3.041134E-10	-3.072058E-10	-3.107325E-10
5	3701794319.937195	3.623388	31.017392	29.145332	-4.650000E-9	5.993960E-12	-2.962472E-10	-2.983659E-10	-3.028577E-10	-3.035172E-10	-3.067232E-10	-3.102708E-10
6	3701794356.214152	3.593075	31.017216	29.156509	-4.660000E-9	5.992930E-12	-2.966961E-10	-2.997908E-10	-3.026629E-10	-3.051346E-10	-3.096248E-10	-3.103870E-10
7	3701794392.470213	3.567800	31.022961	29.144125	-4.660000E-9	5.993160E-12	-2.956639E-10	-2.990074E-10	-3.021244E-10	-3.034724E-10	-3.099328E-10	-3.135062E-10
8	3701794428.762026	3.570632	31.022208	29.183382	-4.660000E-9	5.993680E-12	-2.986013E-10	-2.994313E-10	-3.042185E-10	-3.077803E-10	-3.085438E-10	-3.114010E-10
9	3701794465.000344	3.570779	31.020901	29.169073	-4.650000E-9	5.993120E-12	-2.980371E-10	-3.035880E-10	-3.066073E-10	-3.080140E-10	-3.141472E-10	-3.156881E-10
10	3701794501.268784	3.553232	31.022823	29.121792	-4.660000E-9	5.992230E-12	-2.989970E-10	-3.005408E-10	-3.055906E-10	-3.115925E-10	-3.082964E-10	-3.077290E-10
11	3701794537.492396	3.593052	31.026013	29.126449	-4.660000E-9	5.992200E-12	-2.997498E-10	-3.013554E-10	-2.981803E-10	-3.066851E-10	-3.059440E-10	-3.083993E-10
12	3701794573.732557	3.536699	31.024784	29.151774	-4.660000E-9	5.993050E-12	-2.921618E-10	-2.975061E-10	-3.007432E-10	-3.044014E-10	-3.080243E-10	-3.098698E-10
13	3701794609.953278	3.524202	31.023813	29.123951	-4.650000E-9	5.993060E-12	-2.956329E-10	-2.985414E-10	-3.014182E-10	-3.039720E-10	-3.062464E-10	-3.085968E-10
14	3701794646.230251	3.545196	31.025538	29.132810	-4.660000E-9	5.993040E-12	-2.935987E-10	-2.946786E-10	-3.001760E-10	-3.029648E-10	-3.051490E-10	-3.079978E-10
15	3701794682.531726	3.507740	31.027875	29.194143	-4.660000E-9	5.993950E-12	-2.930542E-10	-2.951421E-10	-2.981932E-10	-3.033040E-10	-3.062234E-10	-3.094537E-10
16	3701794719.332814	3.557766	31.030255	29.179140	-4.660000E-9	5.993030E-12	-2.951925E-10	-2.990351E-10	-2.995642E-10	-3.037506E-10	-3.051537E-10	-3.086369E-10
17	3701794756.154062	3.543122	31.032771	29.201969	-4.660000E-9	5.992360E-12	-2.952072E-10	-2.993924E-10	-3.030724E-10	-3.047674E-10	-3.077660E-10	-3.127085E-10
18	3701794792.981433	3.491816	31.029322	29.172008	-4.660000E-9	5.993170E-12	-2.955660E-10	-2.991234E-10	-3.029691E-10	-3.050715E-10	-3.081106E-10	-3.103447E-10
19	3701794829.572202	3.496050	31.029086	29.143945	-4.660000E-9	5.994040E-12	-2.948752E-10	-2.985335E-10	-3.012000E-10	-3.057931E-10	-3.067742E-10	-3.109498E-10
20	3701794866.395643	3.507647	31.031800	29.140083	-4.650000E-9	5.992990E-12	-2.959721E-10	-2.965374E-10	-3.005972E-10	-3.033865E-10	-3.063591E-10	-3.099633E-10
21	3701794902.952457	3.526880	31.035782	29.132751	-4.660000E-9	5.994000E-12	-2.964267E-10	-2.987694E-10	-3.004778E-10	-3.039076E-10	-3.049545E-10	-3.079112E-10
22	3701794939.659582	3.438690	31.036951	29.146761	-4.660000E-9	5.993090E-12	-2.930551E-10	-2.965415E-10	-2.990002E-10	-3.011787E-10	-3.046783E-10	-3.074239E-10
23	3701794976.390592	3.468434	31.034455	29.154330	-4.660000E-9	5.993340E-12	-2.954578E-10	-2.973913E-10	-2.996502E-10	-3.044714E-10	-3.070852E-10	-3.072485E-10
24	3701795012.948002	3.486985	31.036197	29.162000	-4.660000E-9	5.994330E-12	-2.975597E-10	-3.008975E-10	-3.033797E-10	-3.062129E-10	-3.082362E-10	-3.109478E-10
25	3701795049.639790	3.462199	31.031325	29.154844	-4.670000E-9	5.994260E-12	-2.942992E-10	-2.962003E-10	-3.001704E-10	-3.018918E-10	-3.059158E-10	-3.076139E-10
26	3701795086.211559	3.463397	31.031818	29.175673	-4.660000E-9	5.992300E-12	-2.935978E-10	-2.944394E-10	-2.984283E-10	-2.997237E-10	-3.026121E-10	-3.056091E-10
27	3701795122.922774	3.448023	31.035169	29.174842	-4.670000E-9	5.993550E-12	-2.941151E-10	-2.964377E-10	-2.977853E-10	-2.999654E-10	-3.051706E-10	-3.060195E-10
28	3701795159.493265	3.512748	31.037229	29.203496	-4.660000E-9	5.992460E-12	-2.970281E-10	-2.969174E-10	-2.990030E-10	-2.997499E-10	-3.024475E-10	-3.062267E-10
29	3701795196.185149	3.448030	31.041390	29.191348	-4.650000E-9	5.993110E-12	-2.952420E-10	-2.988503E-10	-2.993867E-10	-3.028554E-10	-3.051564E-10	-3.067386E-10
30	3701795232.776816	3.461580	31.038873	29.173195	-4.660000E-9	5.993770E-12	-2.957121E-10	-2.992562E-10	-3.020012E-10	-3.035802E-10	-3.052930E-10	-3.090892E-10
31	3701795269.459755	3.471011	31.041509	29.198065	-4.670000E-9	5.992600E-12	-2.962391E-10	-2.983882E-10	-2.991116E-10	-2.997802E-10	-3.022313E-10	-3.039973E-10
32	3701795306.022875	3.476966	31.040478	29.200325	-4.670000E-9	5.994950E-12	-2.945934E-10	-2.969698E-10	-2.992923E-10	-3.031214E-10	-3.069114E-10	-3.057485E-10
33	3701795342.682212	3.447542	31.045452	29.189286	-4.670000E-9	4.941440E-12	-2.938533E-10	-2.947216E-10	-2.995989E-10	-3.013298E-10	-3.016966E-10	-3.065400E-10
34	3701795379.360144	3.457660	31.042442	29.191468	-4.660000E-9	5.993250E-12	-2.949324E-10	-2.971328E-10	-2.997408E-10	-3.020414E-10	-3.039551E-10	-3.076721E-10
35	3701795416.071420	3.467830	31.046068	29.209540	-4.670000E-9	5.992590E-12	-2.968038E-10	-2.995095E-10	-3.018078E-10	-3.039888E-10	-3.050139E-10	-3.079150E-10
36	3701795452.768976	3.397567	31.046187	29.209717	-4.660000E-9	5.993420E-12	-2.943367E-10	-2.975154E-10	-2.967301E-10	-3.001425E-10	-3.015404E-10	-3.043631E-10
37	3701795489.300251	3.435993	31.047951	29.217288	-4.660000E-9	5.994460E-12	-2.922177E-10	-2.945799E-10	-2.978771E-10	-2.995904E-10	-3.000537E-10	-3.020796E-10
38	3701795525.999755	3.453945	31.054112	29.189961	-4.670000E-9	5.994680E-12	-2.941561E-10	-2.947017E-10	-2.965908E-10	-3.000750E-10	-3.025079E-10	-3.046343E-10
39	3701795562.595117	3.470479	31.052686	29.191049	-4.680000E-9	5.993440E-12	-2.960255E-10	-2.987204E-10	-2.999590E-10	-3.017496E-10	-3.052595E-10	-3.069417E-10
40	3701795599.245976	3.460457	31.053836	29.190616	-4.660000E-9	5.994870E-12	-2.922969E-10	-2.960225E-10	-2.964233E-10	-2.981719E-10	-3.000744E-10	-3.032058E-10
41	3701795635.822581	3.397102	31.056470	29.211501	-4.660000E-9	5.992700E-12	-2.966019E-10	-2.972224E-10	-3.005131E-10	-3.010780E-10	-3.026209E-10	-3.042929E-10
42	3701795672.515319	3.418076	31.059187	29.249766	-4.670000E-9	5.993270E-12	-2.950193E-10	-2.956893E-10	-2.973712E-10	-2.988300E-10	-3.009309E-10	-3.030893E-10
43	3701795709.074531	3.401228	31.059106	29.202088	-4.670000E-9	5.994120E-12	-2.958191E-10	-2.982151E-10	-2.997291E-10	-3.014027E-10	-3.028261E-10	-3.056267E-10
44	3701795745.616807	3.405908	31.060691	29.221252	-4.670000E-9	5.994570E-12	-2.942735E-10	-2.951633E-10	-2.976946E-10	-2.987930E-10	-3.004455E-10	-3.016140E-10
45	3701795782.196449	3.438563	31.059403	29.247626	-4.680000E-9	5.993300E-12	-2.924084E-10	-2.966185E-10	-2.980567E-10	-2.997531E-10	-3.025178E-10	-3.033506E-10
46	3701795818.907496	3.447558	31.062158	29.243049	-4.660000E-9	4.873900E-12	-2.932413E-10	-2.937680E-10	-2.946755E-10	-2.942052E-10	-3.027060E-10	-3.041261E-10
47	3701795855.469169	3.405534	31.061881	29.252184	-4.670000E-9	5.993520E-12	-2.959898E-10	-3.002668E-10	-3.013791E-10	-3.035689E-10	-3.055748E-10	-3.070872E-10
48	3701795892.183576	3.406346	31.061842	29.257356	-4.670000E-9	4.875390E-12	-2.975312E-10	-2.989069E-10	-2.990598E-10	-2.970608E-10	-2.963920E-10	-2.969416E-10
49	3701795928.769483	3.393759	31.062021	29.276579	-4.660000E-9	4.873900E-12	-2.959340E-10	-2.947294E-10	-2.954096E-10	-2.949786E-10	-2.941458E-10	-2.945274E-10
50	3701795965.299742	3.397802	31.066260	29.241306	-4.670000E-9	5.993260E-12	-2.954011E-10	-2.975400E-10	-2.989956E-10	-3.021253E-10	-3.026512E-10	-3.051426E-10
51	3701796001.854439	3.409928	31.071195	29.267423	-4.670000E-9	5.993060E-12	-2.935249E-10	-2.949626E-10	-2.992383E-10	-2.999413E-10	-3.016556E-10	-3.037023E-10
52	3701796038.375400	3.478376	31.068797	29.255177	-4.670000E-9	5.993930E-12	-2.966535E-10	-2.958445E-10	-2.978084E-10	-3.003122E-10	-3.023613E-10	-3.054368E-10
53	3701796075.065864	3.394853	31.073494	29.234569	-4.680000E-9	5.994080E-12	-2.944331E-10	-2.961541E-10	-2.978356E-10	-3.002103E-10	-3.012175E-10	-3.028836E-10
