#Open Capacitance 1000Hz:4.654560E-12
#Open Capacitance 100000Hz:4.281260E-12
#34341_012_PSS_XX_HM_Irrad_20min
#Date/Time: 8/12/2021 3:09:10 PM
#Sensor Name: 34341_012_PSS_XX_HM_Irrad_20min
#Type: P
#Annealing Status: 20 min
#Environment: 20C
#Tester: Eric Spencer

#Notes: Irradiated for 56 min at RINSC

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Interstrip C	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0	IstripNbr_0	IstripNbr_1	IstripNbr_2	IstripNbr_3	IstripNbr_Mean	IstripNbr_Median	I_RBias Nbr_V-5.0	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
1	3711640221.676716	1.975424	-20.000000	22.841849	-3.046700E-5	-5.979218E-11	8.843800E-11	5.074100E-12	-4.284248E-7	-4.283637E-7	-4.283175E-7	-4.282890E-7	-4.283488E-7	-4.283406E-7	-1.579077E-6	-4.284248E-7	-4.283637E-7	-4.283175E-7	-4.282890E-7	-4.283488E-7	-4.283406E-7	-1.593100E-6	-4.189716E-7	-4.200807E-7	-4.209188E-7	-4.218746E-7	-4.231092E-7	-4.240968E-7
2	3711640271.454316	2.007595	-20.000000	22.828691	-3.042600E-5	-6.154442E-11	8.827230E-11	5.109530E-12	-4.218687E-7	-4.218470E-7	-4.218018E-7	-4.217834E-7	-4.218252E-7	-4.218244E-7	-1.588553E-6	-4.202062E-7	-4.201259E-7	-4.201356E-7	-4.201626E-7	-4.201576E-7	-4.201491E-7	-1.596458E-6	-4.188329E-7	-4.198611E-7	-4.207853E-7	-4.218601E-7	-4.227330E-7	-4.237373E-7
3	3711640320.138287	2.017778	-20.000000	22.822605	-3.047100E-5	-6.184482E-11	8.821190E-11	5.118340E-12	-4.182752E-7	-4.182523E-7	-4.182458E-7	-4.182463E-7	-4.182549E-7	-4.182493E-7	-1.595241E-6	-4.179616E-7	-4.179151E-7	-4.178842E-7	-4.179040E-7	-4.179162E-7	-4.179095E-7	-1.598577E-6	-4.168722E-7	-4.178028E-7	-4.187340E-7	-4.196275E-7	-4.205297E-7	-4.216128E-7
4	3711640369.119662	1.977566	-20.000000	22.788065	-3.046500E-5	-5.748911E-11	8.818530E-11	5.121690E-12	-4.247036E-7	-4.245085E-7	-4.246194E-7	-4.245063E-7	-4.245844E-7	-4.245640E-7	-1.588345E-6	-4.243574E-7	-4.242013E-7	-4.240138E-7	-4.239867E-7	-4.241398E-7	-4.241076E-7	-1.593523E-6	-4.226733E-7	-4.237161E-7	-4.246859E-7	-4.255023E-7	-4.261723E-7	-4.266255E-7
5	3711640418.099188	1.969786	-20.000000	22.792049	-3.047300E-5	-6.134417E-11	8.815050E-11	5.121670E-12	-4.196795E-7	-4.196866E-7	-4.196888E-7	-4.197030E-7	-4.196895E-7	-4.196877E-7	-1.594790E-6	-4.200437E-7	-4.200220E-7	-4.200622E-7	-4.200717E-7	-4.200499E-7	-4.200530E-7	-1.597301E-6	-4.190518E-7	-4.199952E-7	-4.209397E-7	-4.218403E-7	-4.228457E-7	-4.240462E-7
6	3711640467.106183	1.931226	-20.000000	22.803582	-3.045800E-5	-6.054313E-11	8.817130E-11	5.122260E-12	-4.183681E-7	-4.183520E-7	-4.183563E-7	-4.183598E-7	-4.183590E-7	-4.183581E-7	-1.596168E-6	-4.188873E-7	-4.188776E-7	-4.188299E-7	-4.187968E-7	-4.188479E-7	-4.188537E-7	-1.598731E-6	-4.177389E-7	-4.187833E-7	-4.199129E-7	-4.206180E-7	-4.217702E-7	-4.226873E-7
7	3711640516.069012	1.943030	-20.000000	22.794091	-3.046600E-5	-6.094365E-11	8.816590E-11	5.121760E-12	-4.190163E-7	-4.190141E-7	-4.190127E-7	-4.190422E-7	-4.190213E-7	-4.190152E-7	-1.595277E-6	-4.196611E-7	-4.196882E-7	-4.197446E-7	-4.197749E-7	-4.197172E-7	-4.197164E-7	-1.598252E-6	-4.186466E-7	-4.194264E-7	-4.205671E-7	-4.214991E-7	-4.225951E-7	-4.237163E-7
8	3711640565.166184	1.982132	-20.000000	22.777325	-3.046600E-5	-5.859058E-11	8.817320E-11	5.122130E-12	-4.190658E-7	-4.190941E-7	-4.191302E-7	-4.191613E-7	-4.191129E-7	-4.191122E-7	-1.595618E-6	-4.199316E-7	-4.199972E-7	-4.199937E-7	-4.199534E-7	-4.199690E-7	-4.199735E-7	-1.597157E-6	-4.187767E-7	-4.196084E-7	-4.204723E-7	-4.214761E-7	-4.224608E-7	-4.235486E-7
9	3711640614.106822	1.944380	-20.000000	22.793496	-3.046800E-5	-6.239555E-11	8.817180E-11	5.121800E-12	-4.186700E-7	-4.186536E-7	-4.186003E-7	-4.185914E-7	-4.186288E-7	-4.186269E-7	-1.595493E-6	-4.192210E-7	-4.191776E-7	-4.191450E-7	-4.191324E-7	-4.191690E-7	-4.191613E-7	-1.598913E-6	-4.179428E-7	-4.190213E-7	-4.198450E-7	-4.209633E-7	-4.221135E-7	-4.230819E-7
10	3711640663.204654	2.015830	-20.000000	22.774649	-3.044400E-5	-6.069330E-11	8.816840E-11	5.123040E-12	-4.188026E-7	-4.187674E-7	-4.187597E-7	-4.187975E-7	-4.187818E-7	-4.187824E-7	-1.596234E-6	-4.193429E-7	-4.193284E-7	-4.192899E-7	-4.193031E-7	-4.193161E-7	-4.193158E-7	-1.597210E-6	-4.184134E-7	-4.191415E-7	-4.202031E-7	-4.210019E-7	-4.221687E-7	-4.230880E-7
11	3711640712.258338	1.978700	-20.000000	22.769101	-3.044900E-5	-6.084353E-11	8.816570E-11	5.122170E-12	-4.195398E-7	-4.195255E-7	-4.195427E-7	-4.195668E-7	-4.195437E-7	-4.195412E-7	-1.593792E-6	-4.203382E-7	-4.203246E-7	-4.203223E-7	-4.203339E-7	-4.203297E-7	-4.203293E-7	-1.593590E-6	-4.194303E-7	-4.203462E-7	-4.214198E-7	-4.221259E-7	-4.232296E-7	-4.243426E-7
12	3711640761.437532	2.016870	-20.000000	22.771340	-3.042200E-5	-6.194495E-11	8.816590E-11	5.122820E-12	-4.211660E-7	-4.211644E-7	-4.211417E-7	-4.211284E-7	-4.211501E-7	-4.211531E-7	-1.589735E-6	-4.216223E-7	-4.216095E-7	-4.216229E-7	-4.216182E-7	-4.216182E-7	-4.216202E-7	-1.591898E-6	-4.206200E-7	-4.218522E-7	-4.225695E-7	-4.234520E-7	-4.245521E-7	-4.254280E-7
