Annealing at 60C (min),Neff,fluence (1 MeV n/cm^-2)
0,6.08E+19,3.35E+15
10,5.93E+19,3.35E+15
20,6.19E+19,3.39E+15
30,4.90E+19,3.10E+15
40,4.94E+19,3.06E+15
50,5.30E+19,3.20E+15
60,5.21E+19,3.20E+15
70,5.24E+19,3.18E+15
80,5.59E+19,3.25E+15
