Annealing at 60C (min),Neff,fluence (1 MeV n/cm^-2)
0,4.32E+19,5.94E+15
10,3.52E+19,5.29E+15
20,3.40E+19,4.89E+15
30,3.35E+19,4.79E+16
40,3.23E+19,4.58E+15
50,3.15E+19,4.55E+15
60,3.21E+19,4.44E+15
70,3.06E+19,4.16E+15
