GCD Test
Bias: 5000.000000
CV_36696_010_PSS_HM_XX_DIODEHALFPSTOP_GRCONN
Date/Time: 8/17/2021 6:11:32 PM
Sensor Name: 36696_010_PSS_HM_XX_DIODEHALFPSTOP_GRCONN
Type: P
Annealing Status: Unirrad
Environment: -20C
Tester: Eric Spencer

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Rp_freq1000.0	Temperature	Air_Temp	Humidity	Dewpoint
 -310.0000	6.330E-12	2.558E+9	   20.0528	   21.2856	    7.6480	  -14.8318	
 -315.0000	6.325E-12	2.472E+9	   20.0785	   21.2934	    7.6458	  -14.8296	
 -320.0000	6.324E-12	2.540E+9	   20.0785	   21.2934	    7.6458	  -14.8296	
 -325.0000	6.316E-12	2.251E+9	   20.0991	   21.2812	    7.6461	  -14.8382	
 -330.0000	6.315E-12	2.370E+9	   20.0914	   21.2941	    7.6322	  -14.8506	
 -335.0000	6.309E-12	2.432E+9	   20.0682	   21.2846	    7.6312	  -14.8591	
 -340.0000	6.310E-12	2.158E+9	   20.0682	   21.2846	    7.6312	  -14.8591	
 -345.0000	6.307E-12	2.401E+9	   20.0347	   21.2908	    7.6300	  -14.8566	
 -350.0000	6.306E-12	2.545E+9	   19.9755	   21.2815	    7.6145	  -14.8881	
 -355.0000	6.301E-12	2.318E+9	   19.9524	   21.2902	    7.6116	  -14.8861	
 -360.0000	6.304E-12	2.334E+9	   19.9421	   21.2902	    7.6101	  -14.8886	
 -365.0000	6.303E-12	2.304E+9	   19.9472	   21.2839	    7.6107	  -14.8923	
 -370.0000	6.300E-12	2.491E+9	   19.9653	   21.2814	    7.6211	  -14.8776	
 -375.0000	6.301E-12	2.597E+9	   19.9884	   21.2910	    7.6265	  -14.8619	
 -380.0000	6.300E-12	2.661E+9	   20.0142	   21.2901	    7.6176	  -14.8766	
 -385.0000	6.299E-12	2.182E+9	   20.0553	   21.2885	    7.6186	  -14.8763	
 -390.0000	6.301E-12	2.304E+9	   20.0837	   21.2876	    7.6224	  -14.8709	
 -395.0000	6.300E-12	2.281E+9	   20.0991	   21.2876	    7.6246	  -14.8674	
 -400.0000	6.300E-12	2.368E+9	   20.0939	   21.2936	    7.6275	  -14.8585	
 -410.0000	6.300E-12	2.319E+9	   20.0759	   21.2908	    7.6312	  -14.8545	
 -420.0000	6.297E-12	2.577E+9	   20.0425	   21.2808	    7.6379	  -14.8514	
 -430.0000	6.293E-12	2.388E+9	   20.0116	   21.2814	    7.6439	  -14.8415	
 -440.0000	6.297E-12	2.345E+9	   19.9781	   21.2865	    7.6414	  -14.8417	
 -450.0000	6.296E-12	2.508E+9	   19.9550	   21.2853	    7.6284	  -14.8632	
 -460.0000	6.295E-12	2.354E+9	   19.9421	   21.2864	    7.6363	  -14.8498	
 -470.0000	6.295E-12	2.513E+9	   19.9395	   21.2863	    7.6284	  -14.8624	
 -480.0000	6.286E-12	2.416E+9	   19.9498	   21.2864	    7.6243	  -14.8688	
 -490.0000	6.291E-12	2.485E+9	   19.9781	   21.2884	    7.6164	  -14.8799	
 -500.0000	6.292E-12	2.563E+9	   20.0142	   21.2884	    7.6183	  -14.8769	
 -510.0000	6.292E-12	2.238E+9	   20.0476	   21.2848	    7.6205	  -14.8760	
 -520.0000	6.293E-12	2.457E+9	   20.0785	   21.2848	    7.6243	  -14.8700	
 -530.0000	6.293E-12	2.274E+9	   20.0914	   21.2838	    7.6252	  -14.8693	
 -540.0000	6.294E-12	2.419E+9	   20.0914	   21.2838	    7.6252	  -14.8693	
 -550.0000	6.290E-12	2.314E+9	   20.0759	   21.2849	    7.6322	  -14.8574	
 -560.0000	6.290E-12	2.228E+9	   20.0759	   21.2849	    7.6322	  -14.8574	
 -570.0000	6.287E-12	2.404E+9	   20.0450	   21.2855	    7.6246	  -14.8690	
 -580.0000	6.286E-12	2.231E+9	   20.0167	   21.2896	    7.6265	  -14.8630	
 -590.0000	6.290E-12	2.465E+9	   19.9884	   21.2739	    7.6297	  -14.8696	
 -600.0000	6.290E-12	2.362E+9	   19.9472	   21.2948	    7.6135	  -14.8797	
