File,I(600V),I(800V),I(1000V),DepV
34330_048_2-S_HM_XX_DIODE,-3.993902e-06,-4.144076e-06,-4.491934e-06,416.16161616161617
34330_048_2-S_HM_XX_DIODEHALF,-1.159468e-06,-1.253169e-06,-1.332885e-06,402.020202020202
34330_048_2-S_HM_XX_DIODEHALFPSTOP,-1.060225e-06,-1.146964e-06,-1.212418e-06,433.83838383838383
34330_048_2-S_HM_XX_DIODEHALFPSTOP_GRConnected,-1.068031e-06,-1.137681e-06,-1.209932e-06,394.9494949494949
34330_048_2-S_HM_XX_DIODEQUARTER,-4.063973e-07,-4.379865e-07,-4.669229e-07,366.6666666666667
