Run	Volt	Time	Temp	Clust_MPV	Clust_FWHM	Clust_Chi2	Seed_MPV	Seed_FWHM	Seed_Chi2	Seed_med	Clust_med	EtaPct	Eff8k	Eff12k	HitCntr	HitWidth	BadCh	PedNsyEvt	GoodEvt	SoftEvt	OutTimeEvt	NsyEvt	AvgNoise	StDevNoise	AvgGainStrips	StDevGain	AvgGainDel	StDevGainDel	AvgGainHits	Seed_Med_ADC	Clust_Med_ADC	CM_avg	CM_stdev						
Run101221C0_Irrad_2S_IS_34331_042_HiStat_Ann1_1_	-600	0	0	19159.81055	9138.302734	214.882431	16276.95898	11179.15723	710.8894653	16950	20350	0.617931843	0.971245468	0.792568862	66.6075792	3.283527424	0	143	11546	21061	17134	1274	4.554788875	0.051250438	0	0	166.2533286	2.427719077	166.2168663	63.625	76.375	114.6700897	9138.302734	214.882431	97.28978729	9138.302734	214.882431	0.535826134	12.35172941
Run101621C0_Irrad_2S_IS_34331_042_HiStat_Ann1_1_	-600	0	0	19378.12305	9159.441406	128.6137695	16352.62305	11125.87402	479.2214355	17350	20750	0.622880638	0.974952757	0.813327014	61.85961042	3.474732147	1	733	8464	21578	16860	13634	4.59548878	0.14727011	0	0	167.4251002	6.727197784	167.2523919	64.875	77.625	115.9125214	9159.441406	128.6137695	97.64476776	9159.441406	128.6137695	-1.722753822	22.55977161
Run101821C0_Irrad_2S_IS_34331_042_HiStat_Ann1_1_	-600	0	0	18928.47461	9169.296875	129.129837	15964.03125	11289.97754	322.2938538	16750	20150	0.630596101	0.968207598	0.789482713	61.23494887	3.516916977	1	599	5819	21215	21398	10768	4.593685513	0.128965621	0	0	162.9800041	3.838935265	162.3117659	64.375	77.625	116.2651215	9169.296875	129.129837	97.62315369	9169.296875	129.129837	-0.386476586	21.18171342
Run101821C0_Irrad_2S_IS_34331_042_HiStat_Ann1_2_	-600	0	0	20116.54102	9659.075195	185.0489502	16921.53711	11830.74707	417.3593445	17850	21450	0.616801083	0.978577733	0.82972616	68.31833476	2.555380134	1	729	9056	20453	17669	12226	4.622001275	0.13890196	0	0	171.5224525	4.453732484	172.9424097	64.125	77.375	116.2997971	9659.075195	185.0489502	97.93638611	9659.075195	185.0489502	-2.2267138	21.79969892
Run101921C1_Irrad_2S_IS_34331_042_HiStat_Ann2_1_	-600	0	0	19395.73047	9275.390625	124.9413834	16140.72461	10987.91797	315.4567261	17050	20650	0.607851624	0.973141491	0.807194233	68.15463455	2.572749089	1	643	6255	20281	21642	11438	4.6028973	0.137161722	0	0	160.0069599	5.099859049	161.8871604	65.875	79.625	23.13640404	9275.390625	124.9413834	99.7204895	9275.390625	124.9413834	-1.788696607	21.62795995
Run101921C1_Irrad_2S_IS_34331_042_HiStat_Ann2_1_	-600	0	0	18564.79102	9545.048828	102.4036713	15793.97852	10973.64648	323.5144958	16650	19750	0.632878006	0.961593866	0.78716594	68.15222401	2.557781217	1	643	6249	21154	20769	11449	4.6028973	0.137161722	0	0	160.0069599	5.099859049	161.8069788	64.125	76.125	114.4123459	9545.048828	102.4036713	97.68271637	9545.048828	102.4036713	1.799329599	21.67714181
Run102421C1_Irrad_2S_IS_34331_042_HiStat_Ann2_1_	-600	0	0	7437.044922	4256.876953	285.4374084	4826.441406	10694.16211	165.6829681	6450	8250	0.674084246	0.335263312	0.080507308	76.17790305	3.879726114	25	635	7254	30546	10491	9854	4.60490638	0.138541982	0	0	76.7019516	1.317914823	77.61169273	51.125	77.625	114.1471481	4256.876953	285.4374084	63.70374298	4256.876953	285.4374084	1.707803186	21.64222089
Run102421C1_Irrad_2S_IS_34331_042_HiStat_Ann2_2_	-600	0	0	13634.79395	11373.15137	908.0610962	6903.504883	8240.652344	1378.563477	10750	14650	0.649871409	0.661298811	0.441427231	66.69254914	3.360374259	1	567	9501	20925	17096	10434	4.606131878	0.133382389	0	0	116.6490948	50.66017138	119.0462246	64.625	77.375	115.5016403	11373.15137	908.0610962	97.7287674	11373.15137	908.0610962	1.461513321	22.17198935
Run102421C1_Irrad_2S_IS_34331_042_HiStat_Ann2_2_	-600	0	0	13046.98438	9617.832031	1094.348022	6984.054199	7936.250488	1623.274414	11050	15250	0.627505958	0.676306665	0.455358088	66.69836128	3.347663614	1	567	9509	20223	17798	10540	4.606131878	0.133382389	0	0	116.6490948	50.66017138	119.2054181	65.875	80.125	1.363897085	9617.832031	1094.348022	100.7857666	9617.832031	1094.348022	-2.108892483	22.13922708
Run102421C1_Irrad_2S_IS_34331_042_HiStat_Ann2_1_	-600	0	0	7754.10791	4280.546387	338.9377747	4730.961426	10930.20898	159.2226563	6450	8550	0.657898903	0.339612424	0.08198943	76.17203323	3.763598973	25	635	7379	29888	10989	10035	4.60490638	0.138541982	0	0	76.7019516	1.317914823	77.61408127	51.375	80.375	118.9518661	4280.546387	338.9377747	63.07582855	4280.546387	338.9377747	-2.206055501	21.63869158
