GCD Test
Bias: 5000.000000
IV_34254_041_PSS_HM_XX_DIODE
Date/Time: 4/23/2021 3:50:34 PM
Sensor Name: DIODE
Type: P
Annealing Status: Unirradiated
Environment: RT
Tester: Andrew Kent 

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	-1.540064E-10	-1.540064E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
  -10.0000	-1.587280E-10	-1.587280E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
  -15.0000	-1.632126E-10	-1.632126E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
  -20.0000	-1.673987E-10	-1.673987E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
  -25.0000	-1.737672E-10	-1.737672E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
  -30.0000	-1.808239E-10	-1.808239E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
  -35.0000	-1.901204E-10	-1.901204E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
  -40.0000	-2.019882E-10	-2.019882E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
  -45.0000	-2.126840E-10	-2.126840E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
  -50.0000	-2.241460E-10	-2.241460E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
  -55.0000	-2.318263E-10	-2.318263E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
  -60.0000	-2.368332E-10	-2.368332E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
  -65.0000	-2.415258E-10	-2.415258E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
  -70.0000	-2.471881E-10	-2.471881E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
  -75.0000	-2.495461E-10	-2.495461E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
  -80.0000	-2.509435E-10	-2.509435E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
  -85.0000	-2.532305E-10	-2.532305E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
  -90.0000	-2.540791E-10	-2.540791E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
  -95.0000	-2.555917E-10	-2.555917E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -100.0000	-2.565571E-10	-2.565571E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -105.0000	-2.576117E-10	-2.576117E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -110.0000	-2.584286E-10	-2.584286E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -115.0000	-2.585992E-10	-2.585992E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -120.0000	-2.595629E-10	-2.595629E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -125.0000	-2.607171E-10	-2.607171E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -130.0000	-2.607778E-10	-2.607778E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -135.0000	-2.610140E-10	-2.610140E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -140.0000	-2.626076E-10	-2.626076E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -145.0000	-2.629822E-10	-2.629822E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -150.0000	-2.634889E-10	-2.634889E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -155.0000	-2.647264E-10	-2.647264E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -160.0000	-2.648790E-10	-2.648790E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -165.0000	-2.651145E-10	-2.651145E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -170.0000	-2.665521E-10	-2.665521E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -175.0000	-2.669708E-10	-2.669708E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -180.0000	-2.675189E-10	-2.675189E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -185.0000	-2.683679E-10	-2.683679E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -190.0000	-2.701038E-10	-2.701038E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -195.0000	-2.706083E-10	-2.706083E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -200.0000	-2.719483E-10	-2.719483E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -205.0000	-2.731740E-10	-2.731740E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -210.0000	-2.736238E-10	-2.736238E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -215.0000	-2.751880E-10	-2.751880E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -220.0000	-2.770836E-10	-2.770836E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -225.0000	-2.771846E-10	-2.771846E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -230.0000	-2.786961E-10	-2.786961E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -235.0000	-2.794789E-10	-2.794789E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -240.0000	-2.808332E-10	-2.808332E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -245.0000	-2.824347E-10	-2.824347E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -250.0000	-2.823607E-10	-2.823607E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -255.0000	-2.856096E-10	-2.856096E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -260.0000	-2.852698E-10	-2.852698E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -265.0000	-2.869871E-10	-2.869871E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -270.0000	-2.874201E-10	-2.874201E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -275.0000	-2.884050E-10	-2.884050E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -280.0000	-2.890783E-10	-2.890783E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -285.0000	-2.902437E-10	-2.902437E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -290.0000	-2.899795E-10	-2.899795E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -295.0000	-2.904912E-10	-2.904912E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -300.0000	-2.909982E-10	-2.909982E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -305.0000	-2.916890E-10	-2.916890E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -310.0000	-2.934484E-10	-2.934484E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -315.0000	-2.930348E-10	-2.930348E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -320.0000	-2.937530E-10	-2.937530E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -325.0000	-2.942529E-10	-2.942529E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -330.0000	-2.953346E-10	-2.953346E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -335.0000	-2.953226E-10	-2.953226E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -340.0000	-2.957608E-10	-2.957608E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -345.0000	-2.971344E-10	-2.971344E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -350.0000	-2.970431E-10	-2.970431E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -355.0000	-2.979181E-10	-2.979181E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -360.0000	-2.985337E-10	-2.985337E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -365.0000	-2.988566E-10	-2.988566E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -370.0000	-2.984619E-10	-2.984619E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -375.0000	-2.996550E-10	-2.996550E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -380.0000	-2.991871E-10	-2.991871E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -385.0000	-2.993241E-10	-2.993241E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -390.0000	-3.026668E-10	-3.026668E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -395.0000	-2.871323E-10	-2.871323E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -400.0000	-3.023402E-10	-3.023402E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -410.0000	-3.024121E-10	-3.024121E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -420.0000	-3.043532E-10	-3.043532E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -430.0000	-3.037012E-10	-3.037012E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -440.0000	-3.052120E-10	-3.052120E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -450.0000	-3.053914E-10	-3.053914E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -460.0000	-3.059039E-10	-3.059039E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -470.0000	-3.067943E-10	-3.067943E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -480.0000	-3.075171E-10	-3.075171E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -490.0000	-3.075964E-10	-3.075964E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -500.0000	-3.088951E-10	-3.088951E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -510.0000	-3.095684E-10	-3.095684E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -520.0000	-3.112194E-10	-3.112194E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -530.0000	-3.117464E-10	-3.117464E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -540.0000	-3.128562E-10	-3.128562E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -550.0000	-3.117610E-10	-3.117610E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -560.0000	-3.125027E-10	-3.125027E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -570.0000	-3.135711E-10	-3.135711E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -580.0000	-3.139208E-10	-3.139208E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -590.0000	-3.153242E-10	-3.153242E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -600.0000	-3.168557E-10	-3.168557E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -610.0000	-3.167416E-10	-3.167416E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -620.0000	-3.171237E-10	-3.171237E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -630.0000	-3.169538E-10	-3.169538E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -640.0000	-3.180837E-10	-3.180837E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -650.0000	-3.186997E-10	-3.186997E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -660.0000	-3.205781E-10	-3.205781E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -670.0000	-3.209416E-10	-3.209416E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -680.0000	-3.220534E-10	-3.220534E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -690.0000	-3.221974E-10	-3.221974E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -700.0000	-3.230721E-10	-3.230721E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -710.0000	-3.245554E-10	-3.245554E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -720.0000	-3.244831E-10	-3.244831E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -730.0000	-3.249968E-10	-3.249968E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -740.0000	-3.261327E-10	-3.261327E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -750.0000	-3.271721E-10	-3.271721E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -760.0000	-3.278578E-10	-3.278578E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -770.0000	-3.294580E-10	-3.294580E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -780.0000	-3.298083E-10	-3.298083E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -790.0000	-3.306735E-10	-3.306735E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -800.0000	-3.315292E-10	-3.315292E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -810.0000	-3.322833E-10	-3.322833E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -820.0000	-3.343657E-10	-3.343657E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -830.0000	-3.348570E-10	-3.348570E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -840.0000	-3.368376E-10	-3.368376E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -850.0000	-3.383177E-10	-3.383177E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -860.0000	-3.396126E-10	-3.396126E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -870.0000	-3.414609E-10	-3.414609E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -880.0000	-3.430301E-10	-3.430301E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -890.0000	-3.445360E-10	-3.445360E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -900.0000	-3.452610E-10	-3.452610E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -910.0000	-3.469061E-10	-3.469061E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -920.0000	-3.491125E-10	-3.491125E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -930.0000	-3.508731E-10	-3.508731E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -940.0000	-3.521886E-10	-3.521886E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -950.0000	-3.537933E-10	-3.537933E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
 -960.0000	-3.556678E-10	-3.556678E-10	 -246.8610	 -246.8610	  -25.8065	       NaN	
