,I(600V),I(800V),I(1000V),DepV
34330_2S_048,-1.068031e-06,-1.137681e-06,-1.209932e-06,394.9494949494949
34331_2S_042,-6.767018e-07,-7.104799e-07,-7.489087e-07,458.5858585858586
38694_2S_040,-9.152546e-07,-9.524182e-07,-1.000436e-06,465.4054054054054
38695_2S_002,-8.154479e-07,-8.269566e-07,-8.512289e-07,426.48648648648646
