,I(600V),I(800V),I(1000V),DepV
38694_2S_040,-1.456e-05,-1.587e-05,-1.698e-05,529.7297297297298
38694_2S_003,-1.315e-05,-1.431e-05,-1.532e-05,1000.0
38695_2S_044,-1.159e-05,-1.245e-05,-1.324e-05,260.0
38695_2S_002,-1.223e-05,-1.321e-05,-1.408e-05,394.05405405405406
38696_2S_001,-1.368e-05,-1.497e-05,-1.602e-05,569.2492492492493
38713_2S_049,-1.381e-05,-1.507e-05,-1.613e-05,585.1851851851852
38874_2S_011,-1.353e-05,-1.473e-05,-1.577e-05,543.7937937937938
38874_2S_044,-1.164e-05,-1.256e-05,-1.338e-05,434.6846846846847
38875_2S_048,-1.447e-05,-1.591e-05,-1.709e-05,622.8728728728729
38875_2S_004,-1.24e-05,-1.347e-05,-1.438e-05,560.3103103103103
