34341_012_PSS_HM_XX
Date/Time: 6/29/2021 1:43:22 PM
Sensor Name: 34341_012_PSS_HM_XX
Type: P
Annealing Status: Not Irradiated
Environment: RT
Tester: Eric Spencer
Notes: 

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	LCR_Cp_freq1000.0	LCR_G_freq1000.0	Temperature	Air_Temp	Humidity	Dewpoint	
 -320.0000	5.517E-11	2.068E-8	   23.5134	   22.2420	   42.4218	    0.0000	
 -325.0000	5.445E-11	2.427E-8	   23.5134	   22.2420	   42.4218	    0.0000	
 -330.0000	5.440E-11	3.332E-8	   23.5134	   22.2420	   42.4218	    0.0000	
 -335.0000	5.236E-11	2.009E-8	   23.5134	   22.2420	   42.4218	    0.0000	
 -340.0000	5.530E-11	2.641E-8	   23.5134	   22.2420	   42.4218	    0.0000	
 -345.0000	5.490E-11	2.823E-8	   23.5134	   22.2420	   42.4218	    0.0000	
 -350.0000	5.404E-11	2.377E-8	   23.5134	   22.2420	   42.4218	    0.0000	
 -355.0000	5.625E-11	1.613E-8	   23.5134	   22.2420	   42.4218	    0.0000	
 -360.0000	5.373E-11	2.976E-8	   23.5134	   22.2420	   42.4218	    0.0000	
 -365.0000	5.473E-11	4.462E-8	   23.5134	   22.2420	   42.4218	    0.0000	
 -370.0000	5.517E-11	1.451E-8	   23.5134	   22.2420	   42.4218	    0.0000	
 -375.0000	5.118E-11	5.664E-8	   23.5134	   22.2420	   42.4218	    0.0000	
 -380.0000	5.140E-11	2.990E-8	   23.5134	   22.2420	   42.4218	    0.0000	
 -385.0000	5.458E-11	1.989E-8	   23.5134	   22.2420	   42.4218	    0.0000	
 -390.0000	5.458E-11	2.403E-8	   23.5134	   22.2420	   42.4218	    0.0000	
 -395.0000	5.516E-11	2.095E-8	   23.5134	   22.2420	   42.4218	    0.0000	
 -400.0000	5.513E-11	1.770E-8	   23.5134	   22.2420	   42.4218	    0.0000	
 -410.0000	5.388E-11	-2.464E-9	   23.5134	   22.2420	   42.4218	    0.0000	
 -420.0000	5.340E-11	2.139E-8	   23.5134	   22.2420	   42.4218	    0.0000	
