#Open Capacitance 1000Hz:4.468460E-12
#Open Capacitance 1000000Hz:Not Measured
#38875_048_2-S_HM_XX_Irrad_20min_Single
#Date/Time: 4/25/2022 11:16:25 AM
#Sensor Name: 38875_048_2-S_HM_XX
#Station: Tesla
#Annealing Status: 20 min
#Environment: -20C
#Tester: Eric Spencer

#Notes: Irradiated at RINSC

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-1.0	I_RBias_V-5.0
1	3733744664.108623	1.335617	-20.000000	24.871605	-1.433300E-5	-5.503526E-11	8.028400E-11	-1.973380E-7	-1.973287E-7	-1.973219E-7	-1.973138E-7	-1.973256E-7	-1.973253E-7	-3.794998E-7	-2.686393E-6
2	3733744680.793166	1.352631	-20.000000	24.858922	-1.432500E-5	-5.368350E-11	8.030400E-11	-1.949863E-7	-1.949912E-7	-1.950014E-7	-1.950061E-7	-1.949963E-7	-1.949963E-7	-3.830820E-7	-2.695309E-6
3	3733744696.593982	1.372828	-20.000000	24.864094	-1.431800E-5	-5.303267E-11	8.031500E-11	-1.939575E-7	-1.939540E-7	-1.939482E-7	-1.939458E-7	-1.939514E-7	-1.939511E-7	-3.830420E-7	-2.690771E-6
4	3733744712.476434	1.373260	-20.000000	24.859260	-1.432500E-5	-5.463475E-11	8.032060E-11	-1.935566E-7	-1.935534E-7	-1.935571E-7	-1.935643E-7	-1.935579E-7	-1.935569E-7	-3.844822E-7	-2.696368E-6
5	3733744728.497426	1.372114	-20.000000	24.854878	-1.431800E-5	-5.413410E-11	8.033440E-11	-1.936096E-7	-1.936080E-7	-1.935999E-7	-1.935972E-7	-1.936037E-7	-1.936039E-7	-3.844125E-7	-2.696032E-6
6	3733744744.534445	1.362812	-20.000000	24.851351	-1.432300E-5	-5.568606E-11	8.034390E-11	-1.935494E-7	-1.935407E-7	-1.935582E-7	-1.935677E-7	-1.935540E-7	-1.935538E-7	-3.840794E-7	-2.694371E-6
7	3733744760.593974	1.338589	-20.000000	24.824382	-1.431800E-5	-5.448456E-11	8.034340E-11	-1.935480E-7	-1.935487E-7	-1.935539E-7	-1.935615E-7	-1.935530E-7	-1.935513E-7	-3.838696E-7	-2.693273E-6
8	3733744776.777943	1.334235	-20.000000	24.804229	-1.431700E-5	-5.553587E-11	8.034980E-11	-1.936855E-7	-1.936851E-7	-1.936767E-7	-1.936723E-7	-1.936799E-7	-1.936809E-7	-3.833800E-7	-2.691416E-6
9	3733744792.669450	1.358676	-20.000000	24.826403	-1.432100E-5	-5.478494E-11	8.035950E-11	-1.938168E-7	-1.938120E-7	-1.938219E-7	-1.938222E-7	-1.938182E-7	-1.938193E-7	-3.834963E-7	-2.692590E-6
10	3733744808.685178	1.381719	-20.000000	24.849527	-1.432600E-5	-5.633692E-11	8.036920E-11	-1.940350E-7	-1.940247E-7	-1.940201E-7	-1.940231E-7	-1.940257E-7	-1.940239E-7	-3.841410E-7	-2.696558E-6
11	3733744824.842328	1.342210	-20.000000	24.821766	-1.432800E-5	-5.628684E-11	8.037590E-11	-1.941600E-7	-1.941493E-7	-1.941497E-7	-1.941521E-7	-1.941528E-7	-1.941509E-7	-3.834983E-7	-2.693706E-6
12	3733744841.115942	1.354216	-20.000000	24.807616	-1.432500E-5	-5.553589E-11	8.038720E-11	-1.942769E-7	-1.942747E-7	-1.942772E-7	-1.942811E-7	-1.942775E-7	-1.942771E-7	-3.829834E-7	-2.691706E-6
13	3733744857.001468	1.367534	-20.000000	24.808034	-1.433300E-5	-5.568606E-11	8.039640E-11	-1.943714E-7	-1.943576E-7	-1.943505E-7	-1.943630E-7	-1.943606E-7	-1.943603E-7	-3.839143E-7	-2.696768E-6
14	3733744872.838700	1.349882	-20.000000	24.824956	-1.432700E-5	-5.498519E-11	8.040050E-11	-1.944002E-7	-1.944003E-7	-1.943999E-7	-1.943975E-7	-1.943995E-7	-1.944001E-7	-3.835840E-7	-2.695112E-6
15	3733744888.915525	1.352278	-20.000000	24.802148	-1.432200E-5	-4.987863E-11	8.040380E-11	-1.944024E-7	-1.943878E-7	-1.943855E-7	-1.943885E-7	-1.943911E-7	-1.943881E-7	-3.836046E-7	-2.695468E-6
16	3733744905.035392	1.311459	-20.000000	24.780013	-1.432600E-5	-5.713794E-11	8.040610E-11	-1.944479E-7	-1.944587E-7	-1.944557E-7	-1.944426E-7	-1.944512E-7	-1.944518E-7	-3.826094E-7	-2.690584E-6
17	3733744921.044293	1.363611	-20.000000	24.800166	-1.432700E-5	-5.368348E-11	8.041660E-11	-1.946078E-7	-1.946095E-7	-1.946101E-7	-1.946110E-7	-1.946096E-7	-1.946098E-7	-3.825231E-7	-2.690698E-6
18	3733744936.899149	1.329737	-20.000000	24.778049	-1.432400E-5	-5.563598E-11	8.041860E-11	-1.947106E-7	-1.947053E-7	-1.947069E-7	-1.947060E-7	-1.947072E-7	-1.947065E-7	-3.829547E-7	-2.693333E-6
19	3733744952.981115	1.366778	-20.000000	24.796379	-1.432500E-5	-5.383369E-11	8.042630E-11	-1.948185E-7	-1.948087E-7	-1.948012E-7	-1.947988E-7	-1.948068E-7	-1.948050E-7	-3.827517E-7	-2.692598E-6
