#Open Capacitance 1000Hz:4.577120E-12
#Open Capacitance 100000Hz:4.370460E-12
#36696_010_PSS_XX_HM
#Date/Time: 8/16/2021 11:23:46 AM
#Sensor Name: 36696_010_PSS_XX_HM
#Type: P
#Annealing Status: 20 min
#Environment: 20C
#Tester: Eric Spencer

#Notes: Irradiated for 56 min at RINSC

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Interstrip C	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0	IstripNbr_0	IstripNbr_1	IstripNbr_2	IstripNbr_3	IstripNbr_Mean	IstripNbr_Median	I_RBias Nbr_V-5.0	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
1	3711972298.571000	1.633533	20.000000	25.682738	-8.330000E-9	-5.974202E-11	8.824150E-11	5.141730E-12	-5.472155E-9	-5.457990E-9	-5.533782E-9	-5.538032E-9	-5.500490E-9	-5.502968E-9	-3.230761E-6	-5.472155E-9	-5.457990E-9	-5.533782E-9	-5.538032E-9	-5.500490E-9	-5.502968E-9	-3.242455E-6	-2.964775E-11	-3.165272E-11	-3.246967E-11	-3.530344E-11	-3.552056E-11	-3.907008E-11
2	3711972350.828195	1.613726	20.000000	25.705387	-7.210000E-9	-6.464836E-11	8.821750E-11	5.177360E-12	-2.738908E-11	-2.864516E-11	-2.672893E-11	-2.950361E-11	-2.806669E-11	-2.801712E-11	-3.242541E-6	-2.992538E-11	-2.953817E-11	-2.796580E-11	-2.752953E-11	-2.873972E-11	-2.875198E-11	-3.244173E-6	-3.021385E-11	-3.177109E-11	-3.375112E-11	-3.652519E-11	-3.696822E-11	-4.256094E-11
3	3711972403.346613	1.601504	20.000000	25.723618	-6.780000E-9	-6.019261E-11	8.821960E-11	5.185930E-12	-3.057634E-11	-2.806149E-11	-2.837449E-11	-2.945946E-11	-2.911794E-11	-2.891698E-11	-3.244239E-6	-3.224664E-11	-3.155195E-11	-3.342033E-11	-3.040686E-11	-3.190644E-11	-3.189930E-11	-3.243443E-6	-3.410196E-11	-3.506691E-11	-3.764942E-11	-3.886463E-11	-4.230642E-11	-4.419363E-11
4	3711972455.842487	1.596475	20.000000	25.732914	-6.900000E-9	-5.979207E-11	8.820700E-11	5.188420E-12	-3.208737E-11	-2.974488E-11	-2.905183E-11	-2.917121E-11	-3.001382E-11	-2.945804E-11	-3.243539E-6	-3.549728E-11	-3.520430E-11	-3.507141E-11	-3.343914E-11	-3.480303E-11	-3.513786E-11	-3.245008E-6	-3.602903E-11	-3.852915E-11	-4.075389E-11	-4.181024E-11	-4.559323E-11	-4.602585E-11
5	3711972508.262032	1.579283	20.000000	25.740145	-6.080000E-9	-5.603717E-11	8.820790E-11	5.188510E-12	-3.422339E-11	-3.418046E-11	-3.273137E-11	-3.330974E-11	-3.361124E-11	-3.374510E-11	-3.245134E-6	-3.271030E-11	-3.224438E-11	-3.334449E-11	-3.390486E-11	-3.305101E-11	-3.302740E-11	-3.241085E-6	-3.200171E-11	-3.512783E-11	-3.871355E-11	-4.250391E-11	-4.270876E-11	-4.733795E-11
6	3711972560.769152	1.543891	20.000000	25.744764	-6.130000E-9	-6.024264E-11	8.820900E-11	5.188160E-12	-3.527137E-11	-3.208124E-11	-3.331772E-11	-3.236643E-11	-3.325919E-11	-3.284208E-11	-3.241263E-6	-3.078999E-11	-3.048741E-11	-3.130559E-11	-3.098176E-11	-3.089119E-11	-3.088587E-11	-3.242357E-6	-3.112446E-11	-3.364869E-11	-3.688361E-11	-3.889877E-11	-4.125621E-11	-4.270979E-11
7	3711972613.124837	1.537108	20.000000	25.750332	-5.780000E-9	-6.244545E-11	8.819230E-11	5.188510E-12	-3.068347E-11	-3.254860E-11	-3.257681E-11	-3.090938E-11	-3.167956E-11	-3.172899E-11	-3.242493E-6	-3.284994E-11	-3.288082E-11	-3.217203E-11	-3.478214E-11	-3.317123E-11	-3.286538E-11	-3.240489E-6	-3.249831E-11	-3.680959E-11	-3.763083E-11	-3.978463E-11	-4.216208E-11	-4.452421E-11
8	3711972665.487012	1.538625	20.000000	25.755644	-5.730000E-9	-5.924130E-11	8.819040E-11	5.188370E-12	-3.279598E-11	-3.158098E-11	-3.343752E-11	-3.151576E-11	-3.233256E-11	-3.218848E-11	-3.240635E-6	-3.206838E-11	-3.215812E-11	-3.149510E-11	-3.110279E-11	-3.170610E-11	-3.178174E-11	-3.234290E-6	-3.284282E-11	-3.518939E-11	-3.547786E-11	-3.915537E-11	-4.149113E-11	-4.288033E-11
9	3711972717.912264	1.540650	20.000000	25.756535	-5.440000E-9	-5.818997E-11	8.818320E-11	5.189270E-12	-3.241858E-11	-3.175415E-11	-3.038825E-11	-3.193038E-11	-3.162284E-11	-3.184226E-11	-3.234439E-6	-3.068409E-11	-3.125161E-11	-3.053137E-11	-3.399115E-11	-3.161456E-11	-3.096785E-11	-3.237511E-6	-3.073173E-11	-3.235807E-11	-3.226955E-11	-3.691897E-11	-3.738141E-11	-3.854900E-11
10	3711972770.354904	1.522347	20.000000	25.762935	-5.270000E-9	-6.229534E-11	8.817600E-11	5.188690E-12	-2.798301E-11	-2.817211E-11	-2.852723E-11	-2.629226E-11	-2.774365E-11	-2.807756E-11	-3.237675E-6	-2.948401E-11	-2.909413E-11	-2.757676E-11	-3.076607E-11	-2.923024E-11	-2.928907E-11	-3.234043E-6	-3.129149E-11	-3.130641E-11	-3.744152E-11	-3.961230E-11	-4.126235E-11	-4.404808E-11
