#Open Capacitance 1000Hz:4.945730E-12
#Open Capacitance 100000Hz:5.042620E-12
#36696_039_PSS_XX_HM
#Date/Time: 8/16/2021 2:35:38 PM
#Sensor Name: 36696_039_PSS_XX_HM
#Type: P
#Annealing Status: 20 min
#Environment: 20C
#Tester: Eric Spencer

#Notes: Irradiated for 56 min at RINSC

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Interstrip C
1	3711983810.570444	1.714092	20.000000	26.615010	-5.000000E-11	-6.462174E-6	7.138370E-12	6.189560E-12
#Open Capacitance 1000Hz:4.571320E-12
#Open Capacitance 100000Hz:4.372300E-12
#36696_039_PSS_XX_HM
#Date/Time: 8/16/2021 2:38:09 PM
#Sensor Name: 36696_039_PSS_XX_HM
#Type: P
#Annealing Status: 20 min
#Environment: 20C
#Tester: Eric Spencer

#Notes: Irradiated for 56 min at RINSC

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Interstrip C	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0	IstripNbr_0	IstripNbr_1	IstripNbr_2	IstripNbr_3	IstripNbr_Mean	IstripNbr_Median	I_RBias Nbr_V-5.0	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
1	3711983960.977437	1.688598	20.000000	26.672379	-2.300000E-9	-6.289613E-11	8.896740E-11	5.134690E-12	-2.976396E-11	-2.957977E-11	-2.892657E-11	-3.124127E-11	-2.987789E-11	-2.967186E-11	-3.228387E-6	-2.976396E-11	-2.957977E-11	-2.892657E-11	-3.124127E-11	-2.987789E-11	-2.967186E-11	-3.230366E-6	-3.075164E-11	-3.188732E-11	-3.505127E-11	-3.767121E-11	-4.046472E-11	-4.364973E-11
2	3711984013.748779	1.827911	20.000000	26.665483	-2.300000E-9	-5.879076E-11	8.892660E-11	5.171020E-12	-2.746584E-11	-3.065045E-11	-2.863321E-11	-2.988235E-11	-2.915796E-11	-2.925778E-11	-3.230503E-6	-2.713995E-11	-2.844267E-11	-2.863403E-11	-2.690219E-11	-2.777971E-11	-2.779131E-11	-3.232681E-6	-2.807305E-11	-2.898485E-11	-3.077762E-11	-3.745983E-11	-3.643988E-11	-3.794866E-11
3	3711984066.469397	1.671715	20.000000	26.686608	-2.300000E-9	-5.728884E-11	8.891510E-11	5.178550E-12	-2.668733E-11	-2.505976E-11	-2.489579E-11	-2.468910E-11	-2.533300E-11	-2.497777E-11	-3.232781E-6	-3.127727E-11	-2.989933E-11	-2.984782E-11	-3.164896E-11	-3.066835E-11	-3.058830E-11	-3.233629E-6	-3.091378E-11	-3.333645E-11	-3.637691E-11	-3.768985E-11	-4.112245E-11	-4.326092E-11
4	3711984119.363632	1.650754	20.000000	26.693068	-2.300000E-9	-6.034278E-11	8.891280E-11	5.180910E-12	-3.021193E-11	-2.966219E-11	-2.948923E-11	-2.830468E-11	-2.941701E-11	-2.957571E-11	-3.233778E-6	-3.030188E-11	-2.968671E-11	-3.111536E-11	-3.149583E-11	-3.064994E-11	-3.070862E-11	-3.231847E-6	-3.015694E-11	-3.236410E-11	-3.682014E-11	-3.827740E-11	-4.066859E-11	-4.370353E-11
5	3711984172.208978	1.615163	20.000000	26.695564	-2.290000E-9	-5.808985E-11	8.890660E-11	5.181390E-12	-2.855329E-11	-2.972291E-11	-2.990834E-11	-2.926864E-11	-2.936330E-11	-2.949577E-11	-3.232001E-6	-3.282573E-11	-2.861768E-11	-2.951642E-11	-2.869762E-11	-2.991436E-11	-2.910702E-11	-3.232556E-6	-2.907134E-11	-3.286029E-11	-3.425254E-11	-3.581858E-11	-3.785666E-11	-4.237056E-11
6	3711984224.895776	1.604613	20.000000	26.701847	-2.300000E-9	-5.668805E-11	8.890400E-11	5.181920E-12	-2.830140E-11	-2.944118E-11	-2.997191E-11	-2.837480E-11	-2.902232E-11	-2.890799E-11	-3.232693E-6	-3.048466E-11	-3.368440E-11	-2.970716E-11	-3.005901E-11	-3.098381E-11	-3.027184E-11	-3.232366E-6	-3.130694E-11	-3.371117E-11	-3.634665E-11	-3.709286E-11	-3.871167E-11	-4.073236E-11
7	3711984277.561427	1.612534	20.000000	26.712784	-2.300000E-9	-5.418478E-11	8.889260E-11	5.180770E-12	-3.083384E-11	-3.143695E-11	-2.911836E-11	-2.869312E-11	-3.002057E-11	-2.997610E-11	-3.232520E-6	-2.939824E-11	-2.935245E-11	-3.100702E-11	-2.971390E-11	-2.986790E-11	-2.955607E-11	-3.232556E-6	-3.057236E-11	-3.247818E-11	-3.548145E-11	-3.678498E-11	-3.934767E-11	-4.162659E-11
8	3711984330.078726	1.625458	20.000000	26.714509	-2.290000E-9	-5.859054E-11	8.889260E-11	5.181480E-12	-3.100005E-11	-3.199528E-11	-2.890902E-11	-3.015304E-11	-3.051435E-11	-3.057655E-11	-3.232701E-6	-2.958061E-11	-3.155163E-11	-2.999441E-11	-3.099822E-11	-3.053122E-11	-3.049631E-11	-3.230504E-6	-2.941807E-11	-3.175874E-11	-3.513737E-11	-3.833260E-11	-4.137451E-11	-4.267394E-11
9	3711984382.500902	1.635908	20.000000	26.726517	-2.290000E-9	-5.798972E-11	8.889340E-11	5.180880E-12	-2.640213E-11	-2.878818E-11	-2.722603E-11	-2.766661E-11	-2.752074E-11	-2.744632E-11	-3.230649E-6	-3.081013E-11	-2.927271E-11	-2.789580E-11	-2.857863E-11	-2.913932E-11	-2.892567E-11	-3.231486E-6	-2.871745E-11	-3.209464E-11	-3.619885E-11	-3.744614E-11	-4.061072E-11	-4.216387E-11
10	3711984434.909782	1.607960	20.000000	26.729610	-2.300000E-9	-5.909118E-11	8.888680E-11	5.181180E-12	-2.714405E-11	-2.831224E-11	-2.679957E-11	-2.589798E-11	-2.703846E-11	-2.697181E-11	-3.231663E-6	-2.672147E-11	-2.728615E-11	-2.675111E-11	-2.767315E-11	-2.710797E-11	-2.701863E-11	-3.230755E-6	-2.753638E-11	-2.887119E-11	-3.117771E-11	-3.317390E-11	-3.748968E-11	-3.960016E-11
