Annealing Time (Min),Pin106 Vf (10 min R irad)
8.636261188,	19.2345
17.27252238,	12.8129
25.90878356,	11.0936
34.54504475,	10.2608
43.18130594,	9.65287
51.81756713,	9.19947
60.45382832,	8.82894
69.0900895,	8.52172
77.72635069,	8.2852
86.36261188,	8.07865
94.99887307,	7.86746
113.6351343,	7.5586
132.2713954,	7.31435
160.9076566,	7.05728
189.5439178,	6.77725
233.180179,	6.46567
286.8164402,	6.19875
345.4527014,	5.97048
404.0889626,	5.81811
482.7252238,	5.58514
731.3614849,	5.20801
1231.997746,	4.8636
1578.634007,	4.65869
