Annealing Time (Min),Pin110 Vf (10 min R irad)
9.141,	1
18.282,	0.8945522965
27.423,	0.8467272834
36.564,	0.8127360054
45.705,	0.7871158108
54.846,	0.7638613572
63.987,	0.7504078303
73.128,	0.7375392395
82.269,	0.7257950254
101.41,	0.7093388274
160.551,	0.6690497391
239.692,	0.6382593606
378.833,	0.5943144226
597.974,	0.5614962662
1607.115,0.4679474598
