Annealing Time (Min),Pin107 Vf (10 min R irad)
10.15048266,	16.3833
20.30096532,	16.0579
30.45144798,	15.8143
40.60193064,	15.755
50.7524133,	15.7095
60.90289596,	15.7733
71.05337861,	15.7474
81.20386127,	15.7019
91.35434393,	15.6829
101.5048266,	15.4996
111.6553093,	15.3721
141.8057919,	15.1789
171.9562746,	15.055
212.1067572,	14.9258
272.2572399,	14.541
332.4077225,	14.5616
392.5582052,	14.4072
452.7086879,	14.1698
1477.859171,	12.5259
2523.009653,	11.7184
3903.160136,	11.2326
5223.310619, 	10.9622
