Annealing Time (Min),Pin111 Vf (10 min R irad)
8.76,	19.8523
17.52,	14.5138
26.28,	13.2343
35.04,	12.4639
43.8,	11.8778
52.56,	11.4393
61.32,	11.0439
80.08,	10.4387
98.84,	10.1033
142.6,	9.379
196.36,	8.791935
295.12,	8.14062
443.88,	7.44897
507.64,	7.17489
591.4,	6.94871
680.16,	6.73573
1673.92,	6.05209
