Annealing Time (Min),Pin109 Vf (10 min R irad)
9.776,	1
19.552,	0.9750542977
29.328,	0.9550283458
39.104,	0.9413932123
68.88,	0.9167458869
98.656,	0.897150153
218.432,	0.8378980383
1158.208,0.7017479339
1517.984,0.6779770042
