Annealing Time (Min),Pin109 Vf (10 min R irad)
9.776,	14.4113
19.552,	14.0518
29.328,	13.7632
39.104,	13.5667
68.88,	13.2115
98.656,	12.9291
218.432,	12.0752
1158.208,10.1131
1517.984,9.77053
