Annealing Time (Min),Pin106 Vf (10 min R irad)
8.636261188,	1
17.27252238,	0.6661415685
25.90878356,	0.5767553095
34.54504475,	0.5334581091
43.18130594,	0.5018518807
51.81756713,	0.4782796537
60.45382832,	0.4590158309
69.0900895,	0.4430434896
77.72635069,	0.4307468351
86.36261188,	0.4200083184
94.99887307,	0.4090285685
113.6351343,	0.3929709636
132.2713954,	0.3802724271
160.9076566,	0.36690738
189.5439178,	0.3523486444
233.180179,	0.336149627
286.8164402,	0.3222724791
345.4527014,	0.3104047415
404.0889626,	0.3024830383
482.7252238,	0.290370948
731.3614849,	0.2707639918
1231.997746,	0.2528581455
1578.634007,	0.2422048923
