Annealing Time (Min),Pin110 Vf (10 min R irad)
9.141,	15.3863
18.282,	13.76385
27.423,	13.028
36.564,	12.505
45.705,	12.1108
54.846,	11.753
63.987,	11.546
73.128,	11.348
82.269,	11.1673
101.41,	10.9141
160.551,	10.2942
239.692,	9.82045
378.833,	9.1443
597.974,	8.63935
1607.115,7.19998
