Annealing Time (Min),Pin105 Vf (10 min R irad)
9.400585658,	21.0861
18.80117132,	19.6905
28.20175697,	18.9549
37.60234263,	18.4559
47.00292829,	18.2682
56.40351395,	17.9365
65.80409961,	17.6651
75.20468527,	17.4125
84.60527092,	17.1694
94.00585658,	16.9303
103.4064422,	16.7479
322.8070279,	14.6402
402.2076136,	14.2772
461.6081992,	13.8713
611.0087849,	13.3791
1710.409371,	11.523
