Annealing Time (Min),Pin111 Vf (10 min R irad)
8.76,	1
17.52,	0.731089093
26.28,	0.6666381225
35.04,	0.6278315359
43.8,	0.5983085083
52.56,	0.5762203876
61.32,	0.5563032999
80.08,	0.5258181672
98.84,	0.5089233993
142.6,	0.4724389617
196.36,	0.4428673252
295.12,	0.4100592878
443.88,	0.375219496
507.64,	0.361413539
591.4,	0.3500204007
680.16,	0.3392921727
1673.92,	0.3048558605
