#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 100000Hz:4.861670E-12
#34253_037_PSS_HM_XX_IrradSensor_InterStrip
#Date/Time: 4/9/2021 11:41:07 AM
#Sensor Name: 34253_037_PSS_HM_XX_IrradSensor
#Type: P
#Annealing Status: Not Irradiated
#Environment: RT
#Tester: 

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V0.0	I_InterstripR_V0.0	I_InterstripR_V0.0	I_InterstripR_V0.0	I_InterstripR_V0.0	I_InterstripR_V0.0
1	3700827736.176266	3.295204	27.523587	26.430299	-3.410000E-9	0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
2	3700827742.441498	3.302187	27.526301	26.432519	-3.410000E-9	0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
3	3700827748.780845	3.329032	27.525309	26.432122	-3.410000E-9
#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 100000Hz:4.862210E-12
#34253_037_PSS_HM_XX_IrradSensor_InterStrip
#Date/Time: 4/9/2021 11:43:42 AM
#Sensor Name: 34253_037_PSS_HM_XX_IrradSensor
#Type: P
#Annealing Status: Not Irradiated
#Environment: RT
#Tester: 

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
1	3700827891.141560	3.327940	27.535556	26.453405	-3.400000E-9	5.900980E-12	-2.956630E-10	-2.956630E-10	-3.953614E-10	-4.478031E-10	-4.962125E-10	-5.495872E-10
2	3700827927.502133	3.364304	27.537556	26.459688	-3.400000E-9	4.969260E-12	-2.391666E-11	-3.233054E-11	-4.794548E-11	-7.155263E-11	-8.629113E-11	-8.605320E-11
3	3700827963.938017	3.352211	27.540171	26.498249	-3.400000E-9	5.969160E-12	-2.940674E-10	-3.441800E-10	-3.962532E-10	-4.482165E-10	-4.983861E-10	-5.483340E-10
4	3700828000.235457	3.381862	27.542945	26.495675	-3.400000E-9	5.971790E-12	-2.955365E-10	-3.468678E-10	-3.972925E-10	-4.485446E-10	-5.016429E-10	-5.508979E-10
5	3700828036.671587	3.378691	27.546275	26.498945	-3.400000E-9	5.971010E-12	-2.942111E-10	-3.460541E-10	-3.969860E-10	-4.473852E-10	-5.001186E-10	-5.521386E-10
6	3700828072.923455	3.354347	27.549031	26.498608	-3.400000E-9	5.972920E-12	-2.939958E-10	-3.469268E-10	-3.962173E-10	-4.485930E-10	-4.991983E-10	-5.516219E-10
7	3700828109.196703	3.298430	27.553548	26.500984	-3.390000E-9	5.971410E-12	-2.935944E-10	-3.469478E-10	-3.979884E-10	-4.497790E-10	-5.000861E-10	-5.494831E-10
8	3700828145.474417	3.323658	27.557571	26.510299	-3.400000E-9	4.953470E-12	-5.888570E-12	-9.655055E-12	-1.347961E-11	-1.819766E-11	-2.128727E-11	-2.501701E-11
9	3700828181.774243	3.311578	27.559571	26.522169	-3.400000E-9	4.960860E-12	-1.277552E-11	-1.192302E-11	-1.616357E-11	-1.625350E-11	-1.721665E-11	-2.088102E-11
10	3700828218.033818	3.305118	27.561771	26.521218	-3.400000E-9	5.972200E-12	-2.924370E-10	-3.458195E-10	-3.994351E-10	-4.487886E-10	-5.018327E-10	-5.501387E-10
11	3700828254.327279	3.325305	27.564052	26.519712	-3.400000E-9	5.973080E-12	-2.935667E-10	-3.465404E-10	-3.972009E-10	-4.496665E-10	-5.010409E-10	-5.526508E-10
12	3700828290.628323	3.327795	27.566925	26.544444	-3.400000E-9	5.971600E-12	-2.900865E-10	-3.446523E-10	-4.009016E-10	-4.485013E-10	-4.999803E-10	-5.513943E-10
13	3700828326.901886	3.320772	27.569896	26.538953	-3.400000E-9	5.971500E-12	-2.925499E-10	-3.441440E-10	-3.976715E-10	-4.491389E-10	-5.019827E-10	-5.516849E-10
14	3700828363.151422	3.309373	27.573247	26.539826	-3.400000E-9	5.972480E-12	-2.918124E-10	-3.427231E-10	-3.951704E-10	-4.462454E-10	-4.978469E-10	-5.499233E-10
15	3700828399.399319	3.279056	27.575961	26.540699	-3.390000E-9	5.972590E-12	-2.939521E-10	-3.461665E-10	-3.958700E-10	-4.494327E-10	-4.994744E-10	-5.535368E-10
16	3700828435.688196	3.287108	27.579369	26.541392	-3.400000E-9	4.973920E-12	-3.841688E-11	-4.883783E-11	-2.458151E-10	-4.505477E-10	-5.007277E-10	-5.533816E-10
17	3700828471.970730	3.284186	27.582442	26.545117	-3.400000E-9	5.971930E-12	-2.934621E-10	-3.429428E-10	-3.946561E-10	-4.461755E-10	-5.010563E-10	-5.500714E-10
18	3700828508.241375	3.259440	27.586800	26.567847	-3.400000E-9	5.972660E-12	-2.910144E-10	-3.439297E-10	-3.961763E-10	-4.472499E-10	-5.023196E-10	-5.541444E-10
19	3700828544.551349	3.313171	27.587335	26.577397	-3.410000E-9	4.994810E-12	-3.087072E-11	-8.335414E-11	-6.344431E-11	-1.167859E-10	-1.201399E-10	-1.524407E-10
20	3700828580.987503	3.323775	27.592548	26.584987	-3.400000E-9	5.924980E-12	-2.952803E-10	-3.145299E-10	-4.121771E-10	-3.336646E-10	-2.336509E-10	-2.173784E-10
21	3700828617.255649	3.274743	27.598018	26.612434	-3.400000E-9	5.874690E-12	-1.902685E-10	-1.044473E-10	-2.199583E-10	-1.922371E-10	-1.900292E-10	-2.568453E-10
22	3700828653.570978	3.311838	27.601486	26.591566	-3.410000E-9	5.972960E-12	-2.927784E-10	-3.455609E-10	-3.970103E-10	-4.491033E-10	-5.013661E-10	-5.539388E-10
23	3700828689.811105	3.277017	27.603665	26.607875	-3.400000E-9	5.972410E-12	-2.916682E-10	-3.429740E-10	-3.950431E-10	-4.477636E-10	-4.991679E-10	-5.525202E-10
24	3700828726.097486	3.293777	27.605408	26.591073	-3.400000E-9	5.972730E-12	-2.913360E-10	-3.441958E-10	-3.955098E-10	-4.484913E-10	-5.013983E-10	-5.533690E-10
25	3700828762.338568	3.280150	27.609966	26.607005	-3.400000E-9	5.897990E-12	-2.995344E-10	-3.335865E-10	-3.990302E-10	-4.418895E-10	-4.851181E-10	-5.530428E-10
26	3700828798.563514	3.307915	27.615634	26.583205	-3.410000E-9	5.972510E-12	-2.925169E-10	-3.461796E-10	-3.966100E-10	-4.489027E-10	-5.014854E-10	-5.523754E-10
27	3700828834.797901	3.284946	27.617932	26.586712	-3.400000E-9	5.972280E-12	-2.943138E-10	-3.465614E-10	-3.980052E-10	-4.495201E-10	-5.026649E-10	-5.550534E-10
28	3700828871.105390	3.275528	27.620210	26.614673	-3.400000E-9	5.972530E-12	-2.940370E-10	-3.447180E-10	-3.964324E-10	-4.475845E-10	-4.997608E-10	-5.534466E-10
29	3700828907.354045	3.278449	27.626356	26.609561	-3.400000E-9	5.971290E-12	-2.930706E-10	-3.459762E-10	-3.972229E-10	-4.507097E-10	-5.031522E-10	-5.567232E-10
30	3700828943.660973	3.282631	27.628455	26.619429	-3.410000E-9	5.972980E-12	-2.957031E-10	-3.485958E-10	-3.998795E-10	-4.539237E-10	-5.059127E-10	-5.561732E-10
31	3700828979.927333	3.296107	27.634717	26.603912	-3.410000E-9	5.972160E-12	-2.815505E-10	-3.449457E-10	-3.990440E-10	-4.539414E-10	-5.055013E-10	-5.565455E-10
32	3700829016.183408	3.318582	27.636660	26.632034	-3.400000E-9	5.972170E-12	-2.926746E-10	-3.457462E-10	-3.986171E-10	-4.509338E-10	-5.021998E-10	-5.543134E-10
33	3700829052.467233	3.272710	27.640979	26.635857	-3.410000E-9	5.971240E-12	-2.925110E-10	-3.481393E-10	-3.994576E-10	-4.496069E-10	-5.029906E-10	-5.583784E-10
34	3700829088.711012	3.261296	27.643753	26.624205	-3.410000E-9	5.846350E-12	-2.810574E-10	-3.371675E-10	-3.624222E-10	-4.453705E-10	-4.215506E-10	-5.116482E-10
35	3700829125.043324	3.287689	27.647400	26.627416	-3.410000E-9	5.969440E-12	-2.909383E-10	-3.308428E-10	-3.751440E-10	-4.590480E-10	-5.084887E-10	-5.484151E-10
36	3700829161.278955	3.299674	27.653106	26.644140	-3.410000E-9	5.969850E-12	-2.924025E-10	-3.460554E-10	-4.038083E-10	-4.543253E-10	-5.054155E-10	-5.584815E-10
37	3700829197.583322	3.274764	27.654275	26.657753	-3.410000E-9	5.971570E-12	-2.943722E-10	-2.814925E-10	-3.327467E-10	-3.283468E-10	-3.650238E-10	-4.600808E-10
38	3700829233.885195	3.317417	27.661094	26.639384	-3.410000E-9	5.972290E-12	-2.928988E-10	-3.466916E-10	-4.004823E-10	-4.515412E-10	-5.066111E-10	-5.575841E-10
39	3700829270.154357	3.301719	27.663094	26.646974	-3.410000E-9	5.973420E-12	-2.839201E-10	-3.075319E-10	-3.154757E-10	-3.852994E-10	-5.009190E-10	-5.777233E-10
40	3700829306.460324	3.292560	27.666205	26.649195	-3.410000E-9	5.972640E-12	-2.936271E-10	-3.463327E-10	-4.021545E-10	-4.511440E-10	-5.060821E-10	-5.600096E-10
41	3700829342.771984	3.252137	27.670686	26.673587	-3.410000E-9	5.967340E-12	-3.507464E-10	-2.804990E-10	-5.656729E-10	-4.867358E-10	-5.542552E-10	-5.870915E-10
42	3700829379.073870	3.262497	27.673379	26.665286	-3.410000E-9	5.971180E-12	-2.973364E-10	-3.495701E-10	-4.026914E-10	-4.561292E-10	-5.083244E-10	-5.610589E-10
43	3700829415.350603	3.278549	27.676847	26.680842	-3.410000E-9	5.972560E-12	-2.930304E-10	-3.474306E-10	-4.007563E-10	-4.543507E-10	-5.062775E-10	-5.589160E-10
44	3700829451.648821	3.255229	27.681366	26.695049	-3.410000E-9	5.972360E-12	-2.925888E-10	-3.477008E-10	-3.992212E-10	-4.524469E-10	-5.054664E-10	-5.595895E-10
45	3700829487.922844	3.268998	27.686379	26.707257	-3.420000E-9	5.973420E-12	-2.898408E-10	-3.453856E-10	-3.991634E-10	-4.533270E-10	-5.059116E-10	-5.591105E-10
46	3700829524.205210	3.269336	27.690699	26.697348	-3.420000E-9	5.973440E-12	-2.914797E-10	-3.438608E-10	-3.980483E-10	-4.492448E-10	-5.044843E-10	-5.562115E-10
47	3700829560.498277	3.296722	27.695436	26.704938	-3.420000E-9	5.973520E-12	-2.901849E-10	-3.444808E-10	-3.978726E-10	-4.504289E-10	-5.030303E-10	-5.566909E-10
48	3700829596.822589	3.311848	27.700805	26.696197	-3.420000E-9	5.974580E-12	-2.909800E-10	-3.433977E-10	-3.972020E-10	-4.475250E-10	-5.022066E-10	-5.560557E-10
49	3700829633.097889	3.269938	27.702034	26.699844	-3.410000E-9	5.972330E-12	-2.893071E-10	-3.456160E-10	-3.965127E-10	-4.527555E-10	-5.026116E-10	-5.582781E-10
50	3700829669.426334	3.300461	27.705244	26.701688	-3.420000E-9	5.972740E-12	-2.919257E-10	-3.455572E-10	-3.982110E-10	-4.525055E-10	-5.039691E-10	-5.588803E-10
51	3700829705.696959	3.283127	27.709345	26.701808	-3.420000E-9	5.972300E-12	-2.931656E-10	-3.434151E-10	-3.972377E-10	-4.516274E-10	-5.042021E-10	-5.598975E-10
52	3700829741.968052	3.275405	27.713886	26.701748	-3.420000E-9	5.973580E-12	-2.907194E-10	-3.445774E-10	-3.976892E-10	-4.515202E-10	-5.059761E-10	-5.582501E-10
53	3700829778.250624	3.302382	27.718382	26.692177	-3.420000E-9	5.974080E-12	-2.912009E-10	-3.463130E-10	-3.988736E-10	-4.533466E-10	-5.055010E-10	-5.610017E-10
54	3700829814.496858	3.264623	27.722842	26.718512	-3.420000E-9	5.974110E-12	-2.952232E-10	-3.483286E-10	-4.026490E-10	-4.546781E-10	-5.073535E-10	-5.610279E-10
55	3700829850.978211	3.271307	27.728808	26.702026	-3.420000E-9	5.972910E-12	-2.930429E-10	-3.472564E-10	-4.006588E-10	-4.563981E-10	-5.086347E-10	-5.620837E-10
