GCD Test
Bias: 5000.000000
IV_34341_038_PSS_HM_XX_DIODE
Date/Time: 4/28/2021 11:29:14 AM
Sensor Name: DIODE
Type: P
Annealing Status: Unirradiated
Environment: RT
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
 -290.0000	-4.373928E-10	-4.373928E-10	   22.5014	   22.4692	    7.1591	  -14.7573	
 -295.0000	-4.371964E-10	-4.371964E-10	   22.4989	   22.4676	    7.1471	  -14.7788	
 -300.0000	-4.384016E-10	-4.384016E-10	   22.4989	   22.4676	    7.1471	  -14.7788	
 -305.0000	-4.380598E-10	-4.380598E-10	   22.4989	   22.4676	    7.1316	  -14.8051	
 -310.0000	-4.388828E-10	-4.388828E-10	   22.4989	   22.4676	    7.1316	  -14.8051	
 -315.0000	-4.391806E-10	-4.391806E-10	   22.4989	   22.4667	    7.1161	  -14.8321	
 -320.0000	-4.395324E-10	-4.395324E-10	   22.4989	   22.4667	    7.1161	  -14.8321	
 -325.0000	-4.406565E-10	-4.406565E-10	   22.4963	   22.4691	    7.0968	  -14.8632	
 -330.0000	-4.410257E-10	-4.410257E-10	   22.4963	   22.4688	    7.0737	  -14.9028	
 -335.0000	-4.412336E-10	-4.412336E-10	   22.4963	   22.4688	    7.0737	  -14.9028	
 -340.0000	-4.420643E-10	-4.420643E-10	   22.4963	   22.4613	    7.0737	  -14.9083	
 -345.0000	-4.419252E-10	-4.419252E-10	   22.4963	   22.4613	    7.0737	  -14.9083	
 -350.0000	-4.425409E-10	-4.425409E-10	   22.4963	   22.4615	    7.0484	  -14.9515	
 -355.0000	-4.430001E-10	-4.430001E-10	   22.4963	   22.4615	    7.0484	  -14.9515	
 -360.0000	-4.434733E-10	-4.434733E-10	   22.4963	   22.4608	    7.0402	  -14.9661	
 -365.0000	-4.437803E-10	-4.437803E-10	   22.4963	   22.4624	    7.0171	  -15.0047	
 -370.0000	-4.450692E-10	-4.450692E-10	   22.4963	   22.4624	    7.0171	  -15.0047	
 -375.0000	-4.440727E-10	-4.440727E-10	   22.4937	   22.4650	    7.0228	  -14.9930	
 -380.0000	-4.457493E-10	-4.457493E-10	   22.4937	   22.4650	    7.0228	  -14.9930	
 -385.0000	-4.454442E-10	-4.454442E-10	   22.4963	   22.4683	    7.0060	  -15.0194	
 -390.0000	-4.459310E-10	-4.459310E-10	   22.4937	   22.4664	    6.9823	  -15.0617	
 -395.0000	-4.467889E-10	-4.467889E-10	   22.4937	   22.4664	    6.9823	  -15.0617	
 -400.0000	-4.470294E-10	-4.470294E-10	   22.4937	   22.4639	    6.9842	  -15.0603	
 -410.0000	-4.480747E-10	-4.480747E-10	   22.4937	   22.4639	    6.9842	  -15.0603	
 -420.0000	-4.489701E-10	-4.489701E-10	   22.4911	   22.4638	    6.9696	  -15.0855	
 -430.0000	-4.490776E-10	-4.490776E-10	   22.4911	   22.4603	    6.9560	  -15.1116	
 -440.0000	-4.504814E-10	-4.504814E-10	   22.4911	   22.4603	    6.9560	  -15.1116	
 -450.0000	-4.513001E-10	-4.513001E-10	   22.4911	   22.4649	    6.9507	  -15.1176	
 -460.0000	-4.522212E-10	-4.522212E-10	   22.4911	   22.4649	    6.9507	  -15.1176	
 -470.0000	-4.518000E-10	-4.518000E-10	   22.4911	   22.4665	    6.9298	  -15.1528	
 -480.0000	-4.529041E-10	-4.529041E-10	   22.4911	   22.4665	    6.9298	  -15.1528	
 -490.0000	-4.536960E-10	-4.536960E-10	   22.4911	   22.4612	    6.9162	  -15.1803	
 -500.0000	-4.543556E-10	-4.543556E-10	   22.4911	   22.4614	    6.9051	  -15.1995	
 -510.0000	-4.552466E-10	-4.552466E-10	   22.4911	   22.4614	    6.9051	  -15.1995	
 -520.0000	-4.561364E-10	-4.561364E-10	   22.4886	   22.4612	    6.9010	  -15.2068	
 -530.0000	-4.573234E-10	-4.573234E-10	   22.4886	   22.4612	    6.9010	  -15.2068	
 -540.0000	-4.578586E-10	-4.578586E-10	   22.4886	   22.4649	    6.8912	  -15.2212	
 -550.0000	-4.580453E-10	-4.580453E-10	   22.4886	   22.4649	    6.8912	  -15.2212	
 -560.0000	-4.586356E-10	-4.586356E-10	   22.4886	   22.4623	    6.8741	  -15.2531	
 -570.0000	-4.597482E-10	-4.597482E-10	   22.4886	   22.4564	    6.8827	  -15.2424	
 -580.0000	-4.609008E-10	-4.609008E-10	   22.4886	   22.4564	    6.8827	  -15.2424	
 -590.0000	-4.609436E-10	-4.609436E-10	   22.4886	   22.4630	    6.8656	  -15.2675	
 -600.0000	-4.618515E-10	-4.618515E-10	   22.4886	   22.4630	    6.8656	  -15.2675	
 -610.0000	-4.626917E-10	-4.626917E-10	   22.4860	   22.4594	    6.8510	  -15.2957	
 -620.0000	-4.628818E-10	-4.628818E-10	   22.4860	   22.4609	    6.8447	  -15.3057	
 -630.0000	-4.645078E-10	-4.645078E-10	   22.4860	   22.4609	    6.8447	  -15.3057	
 -640.0000	-4.646035E-10	-4.646035E-10	   22.4860	   22.4609	    6.8409	  -15.3124	
