#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.343590E-12
#36696_010_PSS_XX_HM_Irrad_20min_Interstrip
#Date/Time: 9/15/2021 12:32:36 PM
#Sensor Name: 36696_010_PSS_XX_HM
#Type: P
#Annealing Status: 20 minutes
#Environment: -20C
#Tester: Eric Spencer

#Notes: Irradiated to 1.1e15 at RINSC

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-2.5	I_InterstripR_V-5.0
0	3714568424.974751	1.842701	-20.000000	23.644660	-2.333900E-5	5.349090E-12	-3.289281E-7	-3.314273E-7	-3.338636E-7
11	3714568447.505308	1.876569	-20.000000	23.629122	-2.332600E-5	5.439050E-12	-3.263156E-7	-3.287912E-7	-3.312544E-7
22	3714568469.652433	1.881889	-20.000000	23.623951	-2.332500E-5	5.438740E-12	-3.261202E-7	-3.287126E-7	-3.311727E-7
33	3714568491.672549	1.899081	-20.000000	23.619769	-2.332400E-5	5.437910E-12	-3.266550E-7	-3.291438E-7	-3.316339E-7
44	3714568513.696209	1.929006	-20.000000	23.618956	-2.332700E-5	5.437710E-12	-3.274212E-7	-3.299054E-7	-3.324936E-7
#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.341580E-12
#36696_010_PSS_XX_HM_Irrad_20min_Interstrip
#Date/Time: 9/15/2021 1:55:30 PM
#Sensor Name: 36696_010_PSS_XX_HM
#Type: P
#Annealing Status: 20 minutes
#Environment: -20C
#Tester: Eric Spencer

#Notes: Irradiated to 1.1e15 at RINSC

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-2.5	I_InterstripR_V-5.0
1	3714573400.650105	1.805513	-20.000000	22.931974	-2.314000E-5	5.346990E-12	-3.278450E-7	-3.304855E-7	-3.328728E-7
2	3714573423.144562	1.744860	-20.000000	22.932055	-2.315300E-5	5.407040E-12	-3.263415E-7	-3.288308E-7	-3.313368E-7
3	3714573444.943531	1.727803	-20.000000	22.949532	-2.315100E-5	5.426400E-12	-3.257196E-7	-3.283041E-7	-3.308302E-7
4	3714573467.185014	1.706779	-20.000000	22.948145	-2.313400E-5	5.432350E-12	-3.256744E-7	-3.282473E-7	-3.305232E-7
5	3714573489.004229	1.713789	-20.000000	22.946481	-2.314400E-5	5.434890E-12	-3.255689E-7	-3.280723E-7	-3.305355E-7
6	3714573511.004057	1.750236	-20.000000	22.949652	-2.314100E-5	5.436730E-12	-3.252608E-7	-3.278087E-7	-3.303116E-7
7	3714573533.287101	1.764353	-20.000000	22.929517	-2.313600E-5	5.437030E-12	-3.253759E-7	-3.277409E-7	-3.303094E-7
8	3714573555.359569	1.693850	-20.000000	22.929894	-2.312600E-5	5.437140E-12	-3.251670E-7	-3.276326E-7	-3.301565E-7
9	3714573577.299667	1.800260	-20.000000	22.939029	-2.312900E-5	5.437080E-12	-3.248384E-7	-3.272618E-7	-3.299489E-7
10	3714573599.152148	1.824354	-20.000000	22.927792	-2.313000E-5	5.437930E-12	-3.250854E-7	-3.274801E-7	-3.300647E-7
11	3714573621.516342	1.738573	-20.000000	22.949096	-2.312000E-5	5.437420E-12	-3.249281E-7	-3.274223E-7	-3.299390E-7
12	3714573643.428759	1.740138	-20.000000	22.926187	-2.312800E-5	5.436600E-12	-3.248824E-7	-3.273613E-7	-3.299173E-7
13	3714573665.334299	1.741718	-20.000000	22.907839	-2.311000E-5	5.436990E-12	-3.245624E-7	-3.272000E-7	-3.296985E-7
14	3714573687.358961	1.709503	-20.000000	22.907322	-2.311500E-5	5.436880E-12	-3.249002E-7	-3.274147E-7	-3.298644E-7
15	3714573709.315111	1.686865	-20.000000	22.908649	-2.312500E-5	5.435920E-12	-3.247983E-7	-3.274355E-7	-3.298669E-7
16	3714573731.414421	1.720107	-20.000000	22.918044	-2.312600E-5	5.436610E-12	-3.248815E-7	-3.273457E-7	-3.297940E-7
17	3714573753.637807	1.761444	-20.000000	22.920836	-2.312400E-5	5.436280E-12	-3.246865E-7	-3.272669E-7	-3.298396E-7
18	3714573775.701814	1.743805	-20.000000	22.931974	-2.311800E-5	5.436340E-12	-3.246319E-7	-3.271523E-7	-3.296375E-7
19	3714573797.516578	1.710328	-20.000000	22.924127	-2.311100E-5	5.436640E-12	-3.245595E-7	-3.271198E-7	-3.296331E-7
20	3714573819.533327	1.752781	-20.000000	22.897592	-2.309900E-5	5.437410E-12	-3.245809E-7	-3.269857E-7	-3.295723E-7
21	3714573841.516232	1.821852	-20.000000	22.898782	-2.310700E-5	5.437290E-12	-3.245070E-7	-3.269070E-7	-3.294014E-7
22	3714573863.598969	1.790567	-20.000000	22.883304	-2.310500E-5	5.436610E-12	-3.244855E-7	-3.269197E-7	-3.294589E-7
23	3714573885.621935	1.772920	-20.000000	22.885782	-2.309800E-5	5.437050E-12	-3.246058E-7	-3.272465E-7	-3.297456E-7
24	3714573907.594518	1.809305	-20.000000	22.885603	-2.310500E-5	5.437510E-12	-3.255415E-7	-3.280615E-7	-3.307006E-7
25	3714573930.053674	1.716530	-20.000000	22.899831	-2.310200E-5	5.438150E-12	-3.277022E-7	-3.304359E-7	-3.331995E-7
26	3714573951.890729	1.715444	-20.000000	22.887764	-2.311900E-5	5.438470E-12	-3.396735E-7	-3.418827E-7	-3.463783E-7
27	3714573973.809306	1.721746	-20.000000	22.895016	-2.311000E-5	5.437210E-12	-3.247230E-7	-3.272441E-7	-3.297975E-7
28	3714573995.807519	1.717223	-20.000000	22.900764	-2.311800E-5	5.442610E-12	-4.554107E-7	-3.278710E-7	-3.304067E-7
29	3714574017.863785	1.757530	-20.000000	22.885247	-2.310500E-5	5.437750E-12	-3.258392E-7	-3.284732E-7	-3.310045E-7
30	3714574039.948662	1.758558	-20.000000	22.893431	-2.310200E-5	5.437750E-12	-3.264632E-7	-3.290823E-7	-3.316236E-7
31	3714574062.352042	1.779245	-20.000000	22.879875	-2.310600E-5	5.437110E-12	-3.267936E-7	-3.294416E-7	-3.321811E-7
32	3714574084.099842	1.708141	-20.000000	22.876943	-2.310500E-5	5.437760E-12	-3.295511E-7	-3.322258E-7	-3.353355E-7
33	3714574106.018124	1.720643	-20.000000	22.880392	-2.311000E-5	5.445290E-12	-3.883392E-7	-3.820369E-7	-3.949775E-7
34	3714574128.077909	1.706528	-20.000000	22.879818	-2.309700E-5	5.450520E-12	-5.081767E-7	-3.438602E-7	-3.376527E-7
35	3714574150.402949	1.749700	-20.000000	22.865094	-2.309300E-5	5.437660E-12	-3.256849E-7	-3.280639E-7	-3.306672E-7
36	3714574172.490450	1.732908	-20.000000	22.860694	-2.308800E-5	5.447450E-12	-4.011884E-7	-4.437140E-7	-4.593787E-7
37	3714574194.291095	1.770285	-20.000000	22.857405	-2.309300E-5	5.437910E-12	-3.309407E-7	-3.338270E-7	-3.360930E-7
38	3714574216.495270	1.739860	-20.000000	22.860239	-2.309100E-5	5.445390E-12	-4.507413E-7	-4.293080E-7	-4.348871E-7
39	3714574238.419316	1.759991	-20.000000	22.856036	-2.309200E-5	5.436350E-12	-3.279807E-7	-3.304816E-7	-3.331383E-7
40	3714574260.401365	1.711808	-20.000000	22.862042	-2.308900E-5	5.435640E-12	-3.250081E-7	-3.274446E-7	-3.299985E-7
41	3714574282.451651	1.715022	-20.000000	22.854966	-2.308300E-5	5.435760E-12	-3.254628E-7	-3.280184E-7	-3.306196E-7
42	3714574304.548966	1.709873	-20.000000	22.839847	-2.309000E-5	5.436570E-12	-3.269461E-7	-3.295689E-7	-3.322328E-7
43	3714574326.640182	1.746127	-20.000000	22.846665	-2.308800E-5	5.436770E-12	-3.301320E-7	-3.328834E-7	-3.358003E-7
44	3714574348.825376	1.792810	-20.000000	22.840797	-2.307800E-5	5.437800E-12	-3.255260E-7	-3.280089E-7	-3.306251E-7
