Annealing at 60C (min),Neff,fluence (1 MeV n/cm^-2)
0,2.28E+19,2.07E+15
10,2.00E+19,1.99E+15
20,1.81E+19,1.90E+15
30,1.96E+19,1.78E+15
40,1.72E+19,1.76E+15
50,1.68E+19,1.69E+15
60,1.53E+19,1.65E+15
80,1.49E+19,1.57E+15
120,1.54E+19,1.48E+15
