Annealing at 60C (min),Neff,fluence (1 MeV n/cm^-2)
0,2.12E+19,1.84E+15
10,1.91E+19,1.98E+15
20,1.69E+19,1.59E+15
30,1.66E+19,1.36E+15
40,1.38E+19,1.41E+15
50,1.39E+19,1.43E+15
60,1.40E+19,1.34E+15
80,1.43E+19,1.27E+15
120,1.39E+19,1.12E+15
