Annealing at 60C (min),Neff,fluence (1 MeV n/cm^-2)
0,2.81E+19,2.38E+15
10,2.31E+19,2.26E+15
20,2.13E+19,2.07E+15
30,1.90E+19,1.90E+15
40,2.28E+19,2.05E+15
50,1.92E+19,1.87E+15
60,1.83E+19,1.83E+15
80,1.62E+19,1.70E+15
120,1.69E+19,1.62E+15
