Annealing at 60C (min),Neff,fluence (1 MeV n/cm^-2)
0,2.18E+19,1.84E+15
10,1.89E+19,1.80E+15
20,1.75E+19,1.64E+15
30,1.72E+19,1.63E+15
40,1.43E+19,1.49E+15
50,1.41E+19,1.44E+15
60,1.42E+19,1.45E+15
80,1.41E+19,1.40E+15
120,1.41E+19,1.33E+15
150,1.49E+19,1.29E+15
180,1.56E+19,1.23E+15
210,1.65E+19,1.20E+15
