Annealing at 60C (min),Neff,fluence (1 MeV n/cm^-2)
0,2.17E+19,1.97E+15
10,1.96E+19,1.88E+15
20,1.76E+19,1.78E+15
30,1.70E+19,1.83E+15
40,1.60E+19,1.72E+15
50,1.71E+19,1.62E+15
60,1.48E+19,1.59E+15
80,1.45E+19,1.51E+15
120,1.46E+19,1.41E+15
150,1.54E+19,1.35E+15
180,1.57E+19,1.10E+15
240,1.71E+19,1.27E+15
