Annealing at 60C (min),Neff,fluence (1 MeV n/cm^-2)
0,2.65E+19,2.10E+15
10,2.25E+19,2.07E+15
20,2.05E+19,1.84E+15
30,1.98E+19,1.81E+15
40,1.81E+19,1.75E+15
50,1.62E+19,1.61E+15
60,1.70E+19,1.61E+15
80,1.54E+19,1.53E+15
120,1.55E+19,1.42E+15
150,1.72E+19,1.42E+15
180,1.74E+19,1.36E+15
210,1.82E+19,1.33E+15
