Annealing Time (Min) 1,Pin20 Vf (30 min R irad),Annealing Time (Min) 2,Pin49 Vf (60 min R irad),Annealing Time (Min) 3,Pin106 Vf (10 min R irad)
28.63626119,0.74132,58.63626119,0.67048,8.636261188,1
37.27252238,0.6198406052,67.27252238,0.5245246657,17.27252238,0.6661415685
45.90878356,0.5962821395,75.90878356,0.4569850777,25.90878356,0.5767553095
54.54504475,0.5772966045,84.54504475,0.4202563289,34.54504475,0.5334581091
63.18130594,0.5584667879,93.18130594,0.3900238285,43.18130594,0.5018518807
71.81756713,0.5446268813,101.8175671,0.3690048474,51.81756713,0.4782796537
80.45382832,0.5297644239,110.4538283,0.3506141723,60.45382832,0.4590158309
89.0900895,0.5165785347,119.0900895,0.335863356,69.0900895,0.4430434896
97.72635069,0.5020661495,127.7263507,0.324066728,77.72635069,0.4307468351
106.3626119,0.4909074891,136.3626119,0.3121461702,86.36261188,0.4200083184
114.9988731,0.478001893,144.9988731,0.3032189923,94.99887307,0.4090285685
133.6351343,0.4562982066,163.6351343,0.2852216406,113.6351343,0.3929709636
152.2713954,0.4374112932,182.2713954,0.2733508666,132.2713954,0.3802724271
180.9076566,0.4137940005,210.9076566,0.2580270076,160.9076566,0.36690738
209.5439178,0.3904293177,239.5439178,0.2441479363,189.5439178,0.3523486444
253.180179,0.3684764818,283.180179,0.2274597911,233.180179,0.336149627
306.8164402,0.344461242,336.8171,0.214976783,286.8164402,0.3222724791
365.4527014,0.3247767044,395.4534,0.203439666,345.4527014,0.3104047415
424.0889626,0.3108312553,454.0897,0.1956066711,404.0889626,0.3024830383
502.7252238,0.2942351329,532.726,0.1839265582,482.7252238,0.290370948
751.3614849,0.2693963157,781.3623,0.1715854868,731.3614849,0.2707639918
1251.997746,0.2423843616,1281.9986,0.1551526155,1231.997746,0.2528581455
1598.634007,0.2325308464,1628.6349,0.1451609129,1578.634007,0.2422048923
