GCD Test
Bias: 5000.000000
CV_34330_048_2-S_HM_XX_DIODEHALFPSTOP_GRConnected
Date/Time: 9/10/2021 10:40:15 AM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Not Irradiated and Not Annealed
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Rp_freqfreq1000.0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	2.187E-11	1.585E+9	   19.9781	   21.9744	   12.6173	   -8.0670	
  -10.0000	1.665E-11	2.328E+9	   19.9884	   21.9808	   12.1281	   -8.5687	
  -15.0000	1.436E-11	2.614E+9	   20.0064	   21.9808	   11.3390	   -9.4256	
  -20.0000	1.298E-11	2.744E+9	   20.0064	   21.9808	   11.3390	   -9.4256	
  -25.0000	1.203E-11	2.716E+9	   20.0296	   21.9744	   10.4949	  -10.4080	
  -30.0000	1.135E-11	2.613E+9	   20.0322	   21.9722	   10.1743	  -10.7994	
  -35.0000	1.078E-11	2.451E+9	   20.0245	   21.9722	    9.8966	  -11.1459	
  -40.0000	1.032E-11	2.735E+9	   20.0167	   21.9747	    9.7239	  -11.3638	
  -45.0000	9.956E-12	2.713E+9	   20.0064	   21.9760	    9.5544	  -11.5820	
  -50.0000	9.646E-12	2.943E+9	   19.9910	   21.9774	    9.4016	  -11.7814	
  -55.0000	9.374E-12	2.652E+9	   19.9807	   21.9698	    9.2783	  -11.9512	
  -60.0000	9.141E-12	2.764E+9	   19.9678	   21.9761	    9.1692	  -12.0933	
  -65.0000	8.937E-12	2.636E+9	   19.9627	   21.9725	    9.0794	  -12.2179	
  -70.0000	8.752E-12	2.807E+9	   19.9601	   21.9803	    8.9937	  -12.3294	
  -75.0000	8.589E-12	2.682E+9	   19.9627	   21.9778	    8.9276	  -12.4225	
  -80.0000	8.436E-12	2.838E+9	   19.9704	   21.9790	    8.8485	  -12.5315	
  -85.0000	8.303E-12	2.973E+9	   19.9781	   21.9775	    8.8033	  -12.5959	
  -90.0000	8.181E-12	2.904E+9	   19.9884	   21.9799	    8.7283	  -12.6996	
  -95.0000	8.066E-12	2.940E+9	   19.9987	   21.9787	    8.6894	  -12.7555	
 -100.0000	7.957E-12	2.834E+9	   20.0090	   21.9781	    8.6392	  -12.8275	
 -105.0000	7.861E-12	3.000E+9	   20.0142	   21.9823	    8.5974	  -12.8840	
 -110.0000	7.768E-12	2.892E+9	   20.0167	   21.9784	    8.5626	  -12.9368	
 -115.0000	7.678E-12	3.134E+9	   20.0193	   21.9793	    8.5291	  -12.9844	
 -120.0000	7.602E-12	2.939E+9	   20.0142	   21.9817	    8.5000	  -13.0246	
 -125.0000	7.525E-12	3.037E+9	   20.0090	   21.9786	    8.4731	  -13.0659	
 -130.0000	7.456E-12	2.982E+9	   20.0013	   21.9735	    8.4437	  -13.1124	
 -135.0000	7.393E-12	3.259E+9	   19.9936	   21.9738	    8.4187	  -13.1486	
 -140.0000	7.328E-12	3.078E+9	   19.9807	   21.9738	    8.3937	  -13.1851	
 -145.0000	7.270E-12	3.037E+9	   19.9755	   21.9792	    8.3624	  -13.2269	
 -150.0000	7.213E-12	3.129E+9	   19.9730	   21.9797	    8.3431	  -13.2549	
 -155.0000	7.157E-12	2.938E+9	   19.9730	   21.9737	    8.3201	  -13.2934	
 -160.0000	7.106E-12	3.212E+9	   19.9781	   21.9774	    8.3099	  -13.3056	
 -165.0000	7.059E-12	3.244E+9	   19.9833	   21.9747	    8.2910	  -13.3356	
 -170.0000	7.011E-12	3.158E+9	   19.9936	   21.9765	    8.2906	  -13.3347	
 -175.0000	6.969E-12	3.299E+9	   20.0039	   21.9754	    8.2764	  -13.3566	
 -180.0000	6.924E-12	3.129E+9	   20.0116	   21.9755	    8.2524	  -13.3922	
 -185.0000	6.885E-12	3.457E+9	   20.0193	   21.9796	    8.2524	  -13.3891	
 -190.0000	6.846E-12	3.092E+9	   20.0245	   21.9736	    8.2261	  -13.4326	
 -195.0000	6.807E-12	3.140E+9	   20.0245	   21.9722	    8.2230	  -13.4384	
 -200.0000	6.769E-12	3.093E+9	   20.0193	   21.9722	    8.2230	  -13.4384	
 -205.0000	6.734E-12	3.250E+9	   20.0142	   21.9722	    8.1888	  -13.4894	
 -210.0000	6.705E-12	3.241E+9	   20.0039	   21.9722	    8.1888	  -13.4894	
