#Open Capacitance 1000Hz:4.467000E-12
#Open Capacitance 1000000Hz:Not Measured
#38873_003_2-S_HM_XX_Irrad_20min_Single
#Date/Time: 4/21/2022 3:35:24 PM
#Sensor Name: 38873_003_2-S_HM_XX
#Station: Tesla
#Annealing Status: 20 min
#Environment: -20C
#Tester: Eric Spencer

#Notes: Irradiated at RINSC

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-1.0	I_RBias_V-5.0
1	3733414603.134738	1.420712	-20.000000	24.730016	-1.169500E-5	-9.998303E-6	-1.112980E-6	-1.588814E-6	-1.588947E-6	-1.589110E-6	-1.589248E-6	-1.589030E-6	-1.589028E-6	1.583645E-6	1.560668E-6
2	3733414619.462026	1.484087	-20.000000	24.756509	-1.169100E-5	-1.000009E-5	-1.256700E-6	-1.588803E-6	-1.588935E-6	-1.589078E-6	-1.589083E-6	-1.588975E-6	-1.589007E-6	1.582684E-6	1.560100E-6
3	3733414635.178940	1.498346	-20.000000	24.742797	-1.170400E-5	-1.000009E-5	1.123620E-7	-3.615990E-8	-3.562341E-8	-3.617871E-8	-3.334180E-8	-3.532596E-8	-3.589166E-8
#Open Capacitance 1000Hz:4.468420E-12
#Open Capacitance 1000000Hz:Not Measured
#38873_003_2-S_HM_XX_Irrad_20min_Single
#Date/Time: 4/21/2022 3:38:28 PM
#Sensor Name: 38873_003_2-S_HM_XX
#Station: Tesla
#Annealing Status: 20 min
#Environment: -20C
#Tester: Eric Spencer

#Notes: Irradiated at RINSC

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-1.0	I_RBias_V-5.0
1	3733414787.141571	1.439910	-20.000000	24.698486	-1.168000E-5	-5.528554E-11	8.011640E-11	-1.623659E-7	-1.623682E-7	-1.623688E-7	-1.623708E-7	-1.623684E-7	-1.623685E-7	-3.965615E-7	-2.631866E-6
2	3733414803.672373	1.455558	-20.000000	24.704114	-1.167300E-5	-5.052942E-11	8.008710E-11	-1.600682E-7	-1.600794E-7	-1.600896E-7	-1.600832E-7	-1.600801E-7	-1.600813E-7	-3.998644E-7	-2.639285E-6
3	3733414819.600822	1.407624	-20.000000	24.669138	-1.167600E-5	-5.243188E-11	8.002910E-11	-1.590765E-7	-1.590795E-7	-1.590811E-7	-1.590883E-7	-1.590814E-7	-1.590803E-7	-3.996196E-7	-2.634119E-6
4	3733414835.485493	1.477090	-20.000000	24.703223	-1.167900E-5	-5.313279E-11	7.999160E-11	-1.586266E-7	-1.586257E-7	-1.586271E-7	-1.586207E-7	-1.586250E-7	-1.586261E-7	-4.003498E-7	-2.635956E-6
5	3733414852.076437	1.450122	-20.000000	24.706434	-1.167600E-5	-5.488503E-11	7.997210E-11	-1.585202E-7	-1.585025E-7	-1.584857E-7	-1.584821E-7	-1.584976E-7	-1.584941E-7	-4.008012E-7	-2.637758E-6
6	3733414867.760155	1.461332	-20.000000	24.718104	-1.168100E-5	-5.368346E-11	7.996380E-11	-1.584347E-7	-1.584244E-7	-1.584148E-7	-1.584134E-7	-1.584218E-7	-1.584196E-7	-4.005557E-7	-2.636180E-6
7	3733414883.826972	1.420027	-20.000000	24.688816	-1.168200E-5	-5.418416E-11	7.996560E-11	-1.583683E-7	-1.583585E-7	-1.583597E-7	-1.583640E-7	-1.583626E-7	-1.583618E-7	-3.999149E-7	-2.632514E-6
8	3733414899.824144	1.464424	-20.000000	24.706709	-1.167900E-5	-5.518541E-11	7.996730E-11	-1.582333E-7	-1.582268E-7	-1.582205E-7	-1.582114E-7	-1.582230E-7	-1.582237E-7	-3.995426E-7	-2.630192E-6
9	3733414915.948549	1.467808	-20.000000	24.701042	-1.167300E-5	-5.238185E-11	7.997850E-11	-1.581601E-7	-1.581531E-7	-1.581468E-7	-1.581516E-7	-1.581529E-7	-1.581523E-7	-4.002677E-7	-2.633397E-6
10	3733414931.802704	1.449617	-20.000000	24.697673	-1.167300E-5	-5.578621E-11	7.998960E-11	-1.581679E-7	-1.581726E-7	-1.581703E-7	-1.581638E-7	-1.581686E-7	-1.581691E-7	-4.002503E-7	-2.633569E-6
11	3733414947.861393	1.453824	-20.000000	24.707561	-1.167100E-5	-5.173099E-11	7.999800E-11	-1.581763E-7	-1.581738E-7	-1.581653E-7	-1.581635E-7	-1.581697E-7	-1.581696E-7	-3.995369E-7	-2.629904E-6
12	3733414963.916399	1.430172	-20.000000	24.694504	-1.167400E-5	-5.233176E-11	8.001090E-11	-1.581912E-7	-1.581825E-7	-1.581806E-7	-1.581840E-7	-1.581846E-7	-1.581832E-7	-3.993178E-7	-2.629066E-6
13	3733414980.148582	1.427313	-20.000000	24.699556	-1.167800E-5	-5.308273E-11	8.002700E-11	-1.582163E-7	-1.582265E-7	-1.582490E-7	-1.582568E-7	-1.582372E-7	-1.582378E-7	-3.997395E-7	-2.631183E-6
14	3733414996.020054	1.433747	-20.000000	24.685745	-1.168800E-5	-5.383369E-11	8.004780E-11	-1.583049E-7	-1.583226E-7	-1.583356E-7	-1.583474E-7	-1.583276E-7	-1.583291E-7	-3.995161E-7	-2.630653E-6
15	3733415012.475401	1.438336	-20.000000	24.680236	-1.168700E-5	-5.383368E-11	8.006530E-11	-1.582330E-7	-1.582305E-7	-1.582399E-7	-1.582421E-7	-1.582364E-7	-1.582365E-7	-3.992778E-7	-2.628871E-6
16	3733415028.185401	1.455622	-20.000000	24.679719	-1.168400E-5	-5.683755E-11	8.008420E-11	-1.581679E-7	-1.581695E-7	-1.581621E-7	-1.581584E-7	-1.581645E-7	-1.581650E-7	-3.984789E-7	-2.624597E-6
17	3733415044.411080	1.526314	-20.000000	24.662717	-1.167700E-5	-5.483498E-11	8.010590E-11	-1.580101E-7	-1.580058E-7	-1.580061E-7	-1.580112E-7	-1.580083E-7	-1.580081E-7	-3.987902E-7	-2.625546E-6
18	3733415060.274345	1.509205	-20.000000	24.670506	-1.167400E-5	-5.208146E-11	8.012710E-11	-1.580017E-7	-1.580044E-7	-1.580017E-7	-1.579868E-7	-1.579987E-7	-1.580017E-7	-3.993825E-7	-2.628338E-6
19	3733415076.686395	1.472783	-20.000000	24.687904	-1.167100E-5	-6.019189E-11	8.014720E-11	-1.579896E-7	-1.579903E-7	-1.579888E-7	-1.579900E-7	-1.579897E-7	-1.579898E-7	-3.991178E-7	-2.627066E-6
