File,I(600V),I(800V),I(1000V),DepV,I(DepV)
38694_046_2-S_HM_XX_DIODE,-5.005055e-10,-5.308664e-10,-5.685681e-10,218.4984984984985,2.7701419339339313e-10
38694_046_2-S_HM_XX_DIODEHALF,-2.042279e-10,-2.161144e-10,-2.384248e-10,210.8108108108108,3.110545405405422e-11
38694_046_2-S_HM_XX_DIODEHALFPSTOP,-2.031046e-10,-2.169152e-10,-2.481165e-10,212.73273273273273,1.9640401801802002e-11
38694_046_2-S_HM_XX_DIODEHALFPSTOP_GR,-7.799229e-11,-8.266238e-11,-8.908011e-11,211.2912912912913,1.0794856276276263e-10
38694_046_2-S_HM_XX_DIODEQUARTER,-1.084297e-10,-1.161453e-10,-1.288239e-10,228.10810810810813,3.6031870270269152e-12
38694_046_2-S_HM_XX_IRRADSENSOR,-2.63e-09,-2.81e-09,-3.02e-09,230.03003003003005,7.401801801801895e-10
