#Open Capacitance 1000Hz:4.959860E-12
#Open Capacitance 100000Hz:4.626640E-12
#34340_014_PSS_XX_HM_Irrad_20min
#Date/Time: 8/13/2021 2:02:30 PM
#Sensor Name: 34340_014_PSS_XX_HM_Irrad_20min
#Type: P
#Annealing Status: 20 min
#Environment: 20C
#Tester: Eric Spencer

#Notes: Irradiated for 56 min at RINSC

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Interstrip C	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0	IstripNbr_0	IstripNbr_1	IstripNbr_2	IstripNbr_3	IstripNbr_Mean	IstripNbr_Median	I_RBias Nbr_V-5.0	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
1	3711722622.045435	1.955522	-20.000000	23.926868	-2.000000E-8	1.001463E-5	-1.735480E-11	6.775840E-12	-2.975023E-5	-2.962948E-5	-2.954505E-5	-2.948434E-5	-2.960227E-5	-2.958726E-5	1.887700E-5	-2.975023E-5	-2.962948E-5	-2.954505E-5	-2.948434E-5	-2.960227E-5	-2.958726E-5	2.307129E-5	-1.908389E-5	-1.907591E-5	-1.908123E-5	-1.907948E-5	-1.908512E-5	-1.909729E-5
2	3711722669.826048	1.964915	-20.000000	23.917592	-1.900000E-8	1.001421E-5	7.162660E-12	6.820430E-12	-2.938541E-5	-2.937880E-5	-2.937270E-5	-2.936876E-5	-2.937642E-5	-2.937575E-5	1.883009E-5	-2.878944E-5	-2.877809E-5	-2.876909E-5	-2.876297E-5	-2.877490E-5	-2.877359E-5	2.288573E-5	-1.909877E-5	-1.909931E-5	-1.907779E-5	-1.908071E-5	-1.907394E-5	-1.909245E-5
3	3711722716.863251	1.992901	-20.000000	23.914164	-2.000000E-8	1.001416E-5	7.699220E-12	6.976740E-12	-2.968339E-5	-2.968030E-5	-2.967587E-5	-2.967272E-5	-2.967807E-5	-2.967809E-5	1.881854E-5	-2.894655E-5	-2.893761E-5	-2.893024E-5	-2.892535E-5	-2.893494E-5	-2.893392E-5	2.292384E-5	-1.919789E-5	-1.918178E-5	-1.917648E-5	-1.918658E-5	-1.918765E-5	-1.918082E-5
#Open Capacitance 1000Hz:4.660480E-12
#Open Capacitance 100000Hz:4.291460E-12
#34340_014_PSS_XX_HM_Irrad_20min
#Date/Time: 8/13/2021 2:06:55 PM
#Sensor Name: 34340_014_PSS_XX_HM_Irrad_20min
#Type: P
#Annealing Status: 20 min
#Environment: 20C
#Tester: Eric Spencer

#Notes: Irradiated for 56 min at RINSC

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Interstrip C	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0	IstripNbr_0	IstripNbr_1	IstripNbr_2	IstripNbr_3	IstripNbr_Mean	IstripNbr_Median	I_RBias Nbr_V-5.0	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
1	3711722886.258504	1.882767	-20.000000	23.846948	-2.983300E-5	-9.998593E-6	8.143830E-11	5.084800E-12	-5.694720E-7	-5.695063E-7	-5.694397E-7	-5.694768E-7	-5.694737E-7	-5.694744E-7	-1.783846E-6	-5.694720E-7	-5.695063E-7	-5.694397E-7	-5.694768E-7	-5.694737E-7	-5.694744E-7	-6.537794E-6	-5.054458E-7	-5.388574E-7	-5.825640E-7	-6.472790E-7	-7.360090E-7	-8.659206E-7
2	3711722935.685822	1.829226	-20.000000	23.838584	-2.987100E-5	-1.000007E-5	1.010130E-10	5.114590E-12	-5.537614E-7	-5.538631E-7	-5.537311E-7	-5.540397E-7	-5.538488E-7	-5.538123E-7	-6.457984E-6	-5.022864E-7	-5.022119E-7	-5.021561E-7	-5.020705E-7	-5.021812E-7	-5.021840E-7	-2.095002E-6	-4.850312E-7	-5.052155E-7	-5.411823E-7	-2.783274E-6	-5.297274E-6	-5.325256E-6
