#Open Capacitance 1000Hz:4.462970E-12
#Open Capacitance 1000000Hz:Not Measured
#38696_001_2-S_HM_XX_Irrad_20min_Single
#Date/Time: 4/29/2022 11:12:37 AM
#Sensor Name: 38696_001_2-S_HM_XX
#Station: Tesla
#Annealing Status: 20 min
#Environment: -20.0C
#Tester: Eric Spencer

#Notes: Irradiated at RINSC

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-1.0	I_RBias_V-5.0
1	3734090036.591800	1.304866	-20.000000	26.228587	-1.376300E-5	-5.123030E-11	8.037790E-11	-1.965246E-7	-1.965188E-7	-1.965192E-7	-1.965192E-7	-1.965205E-7	-1.965192E-7	-3.687114E-7	-2.629549E-6
2	3734090053.341922	1.305657	-20.000000	26.228052	-1.374800E-5	-5.338303E-11	8.035720E-11	-1.933502E-7	-1.933503E-7	-1.933486E-7	-1.933393E-7	-1.933471E-7	-1.933494E-7	-3.718945E-7	-2.632725E-6
3	3734090069.177496	1.288290	-20.000000	26.215309	-1.374900E-5	-5.338301E-11	8.031660E-11	-1.917456E-7	-1.917311E-7	-1.917327E-7	-1.917424E-7	-1.917379E-7	-1.917376E-7	-3.727169E-7	-2.630405E-6
4	3734090085.054584	1.292921	-20.000000	26.219727	-1.374200E-5	-5.268216E-11	8.027330E-11	-1.910760E-7	-1.910791E-7	-1.910793E-7	-1.910845E-7	-1.910797E-7	-1.910792E-7	-3.740920E-7	-2.634636E-6
5	3734090101.080230	1.283239	-20.000000	26.196345	-1.374100E-5	-5.103006E-11	8.023430E-11	-1.906018E-7	-1.906144E-7	-1.906172E-7	-1.906215E-7	-1.906137E-7	-1.906158E-7	-3.740279E-7	-2.632536E-6
6	3734090117.141388	1.273149	-20.000000	26.202130	-1.374200E-5	-5.588628E-11	8.019510E-11	-1.903512E-7	-1.903409E-7	-1.903261E-7	-1.903201E-7	-1.903346E-7	-1.903335E-7	-3.746898E-7	-2.634579E-6
7	3734090133.473298	1.301725	-20.000000	26.190003	-1.374000E-5	-5.638694E-11	8.016460E-11	-1.901212E-7	-1.901235E-7	-1.901263E-7	-1.901327E-7	-1.901259E-7	-1.901249E-7	-3.748371E-7	-2.634476E-6
8	3734090149.629928	1.280502	-20.000000	26.182652	-1.373800E-5	-5.348316E-11	8.014160E-11	-1.898162E-7	-1.898234E-7	-1.898326E-7	-1.898291E-7	-1.898253E-7	-1.898263E-7	-3.744703E-7	-2.631579E-6
9	3734090165.393055	1.274387	-20.000000	26.162774	-1.373300E-5	-5.658717E-11	8.011910E-11	-1.895677E-7	-1.895516E-7	-1.895428E-7	-1.895403E-7	-1.895506E-7	-1.895472E-7	-3.750792E-7	-2.633461E-6
10	3734090181.586259	1.295653	-20.000000	26.161151	-1.373200E-5	-5.688755E-11	8.010930E-11	-1.893691E-7	-1.893693E-7	-1.893594E-7	-1.893544E-7	-1.893630E-7	-1.893643E-7	-3.751612E-7	-2.633105E-6
