Annealing at 60C (min),Neff,fluence (1 MeV n/cm^-2)
0,2.63E+19,1.56E+15
10,2.38E+19,1.49E+15
20,2.37E+19,1.46E+15
30,2.41E+19,1.56E+15
40,2.44E+19,1.46E+15
50,2.47E+19,1.61E+15
60,2.49E+19,1.37E+15
70,2.50E+19,1.47E+15
80,2.51E+19,1.57E+15
90,2.53E+19,1.63E+15
100,2.54E+19,1.48E+15
110,2.54E+19,1.32E+15
120,2.55E+19,1.54E+15
150,2.56E+19,1.58E+15
