File,I(600V),I(800V),I(1000V),DepV
36696_039_PSS_HM_XX_DIODEHALFPSTOP,-1.305203e-10,-1.40657e-10,-1.561982e-10,310
36696_039_PSS_HM_XX_DIODEHALF,-1.325321e-10,-1.433303e-10,-1.725637e-10,308
36696_039_PSS_HM_XX_DIODE,-3.283572e-10,-3.587268e-10,-4.118625e-10,308
36696_039_PSS_HM_XX_DIODEHALFPSTOP_GRConnected,-4.387705e-11,-4.715743e-11,-4.981606e-11,311
36696_039_PSS_HM_XX_DIODEQUARTER,-7.85649e-11,-8.554164e-11,-1.064295e-10,309
36696_039_PSS_HM_XX_IRRADSENSOR,-2.2770E-9,-2.4530E-9,-2.6960E-9,349
