File,I(600V),I(800V),I(1000V),DepV,I(DepV)
N4789_20_UR_DIODEQUARTER_GR_Irradiated_60C_0min,-5.74E-06,-6.50E-06,-7.51E-06,275,0.00E+00
N4789_20_UR_DIODEQUARTER_GR_Irradiated_60C_100min,-4.56E-06,-5.13E-06,-5.91E-06,278.8388388,3.75E-06
N4789_20_UR_DIODEQUARTER_GR_Irradiated_60C_10min,-5.48E-06,-6.20E-06,-7.16E-06,297.9379379,4.53E-06
N4789_20_UR_DIODEQUARTER_GR_Irradiated_60C_20min,-5.50E-06,-6.22E-06,-7.20E-06,284.1441441,4.52E-06
N4789_20_UR_DIODEQUARTER_GR_Irradiated_60C_30min,-5.25E-06,-5.93E-06,-6.86E-06,279.3693694,4.30E-06
N4789_20_UR_DIODEQUARTER_GR_Irradiated_60C_40min,-5.03E-06,-5.70E-06,-6.59E-06,271.9419419,4.12E-06
N4789_20_UR_DIODEQUARTER_GR_Irradiated_60C_50min,-4.68E-06,-5.44E-06,-6.45E-06,271.4114114,3.56E-06
N4789_20_UR_DIODEQUARTER_GR_Irradiated_60C_60min,-4.87E-06,-5.50E-06,-6.35E-06,271.9419419,3.98E-06
N4789_20_UR_DIODEQUARTER_GR_Irradiated_60C_70min,-4.75E-06,-5.36E-06,-6.19E-06,274.0640641,3.90E-06
N4789_20_UR_DIODEQUARTER_GR_Irradiated_60C_80min,-4.71E-06,-5.31E-06,-6.12E-06,276.1861862,3.88E-06
N4789_20_UR_DIODEQUARTER_GR_Irradiated_60C_90min,-4.65E-06,-5.26E-06,-6.07E-06,278.8388388,3.86E-06
