GCD Test
Bias: 5000.000000
IV_34252_008_PSS_HM_XX_DIODEHALFPSTOP_Irradiated
Date/Time: 5/28/2021 5:38:48 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Irradiated, Annealed for 80 min at 60C
Environment: RT
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
 -370.0000	-1.580587E-6	-1.581575E-6	-1.580091E-6	-1.582913E-6	-1.577769E-6	  -20.0338	   10.9213	    2.9747	  -32.7117	
 -380.0000	-1.611220E-6	-1.610068E-6	-1.607773E-6	-1.613129E-6	-1.613911E-6	  -20.0338	   10.9383	    2.9532	  -32.7745	
 -390.0000	-1.632180E-6	-1.634229E-6	-1.632627E-6	-1.635649E-6	-1.626216E-6	  -19.9982	   10.9383	    2.9292	  -32.8581	
 -400.0000	-1.650230E-6	-1.649484E-6	-1.656312E-6	-1.650168E-6	-1.644958E-6	  -19.9550	   10.9146	    2.9244	  -32.8908	
 -410.0000	-1.661512E-6	-1.662958E-6	-1.660128E-6	-1.664748E-6	-1.658214E-6	  -19.9550	   10.9146	    2.9244	  -32.8908	
 -420.0000	-1.681363E-6	-1.679068E-6	-1.683231E-6	-1.683143E-6	-1.680009E-6	  -19.8990	   10.8392	    2.9039	  -33.0142	
 -430.0000	-1.704140E-6	-1.703640E-6	-1.703739E-6	-1.704721E-6	-1.704461E-6	  -19.8736	   10.8524	    2.8849	  -33.0722	
 -440.0000	-1.722681E-6	-1.717908E-6	-1.721226E-6	-1.722147E-6	-1.729443E-6	  -19.8380	   10.8524	    2.8849	  -33.0722	
 -450.0000	-1.748529E-6	-1.750162E-6	-1.748287E-6	-1.744326E-6	-1.751342E-6	  -19.8380	   10.9266	    2.8675	  -33.0835	
 -460.0000	-1.758472E-6	-1.764883E-6	-1.760280E-6	-1.755902E-6	-1.752825E-6	  -19.8024	   10.9266	    2.8488	  -33.1501	
 -470.0000	-1.790190E-6	-1.782875E-6	-1.785933E-6	-1.796570E-6	-1.795380E-6	  -19.7769	   10.9631	    2.8343	  -33.1776	
 -480.0000	-1.803230E-6	-1.806730E-6	-1.800186E-6	-1.807019E-6	-1.798986E-6	  -19.7769	   10.9631	    2.8343	  -33.1776	
 -490.0000	-1.806826E-6	-1.801492E-6	-1.806555E-6	-1.808179E-6	-1.811077E-6	  -19.7438	   10.9390	    2.8172	  -33.2556	
 -500.0000	-1.826802E-6	-1.825377E-6	-1.828230E-6	-1.826204E-6	-1.827398E-6	  -19.7362	   10.9106	    2.8109	  -33.2977	
 -510.0000	-1.850901E-6	-1.847287E-6	-1.850122E-6	-1.852390E-6	-1.853805E-6	  -19.7159	   10.9106	    2.8109	  -33.2977	
 -520.0000	-1.867690E-6	-1.870385E-6	-1.866648E-6	-1.868645E-6	-1.865081E-6	  -19.7159	   10.8622	    2.7859	  -33.4214	
