#Open Capacitance 1000Hz:4.509180E-12
#Open Capacitance 1000000Hz:Not Measured
#34330_048_2-S_HM_XX_Irrad_1100min_Single
#Date/Time: 11/17/2021 11:45:56 AM
#Sensor Name: 34330_048_2-S_HM_XX_Irrad_1100min
#Type: P
#Annealing Status: 1100 min
#Environment: -20.0C
#Tester: Eric Spencer

#Notes: After Alibava

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0
1	3720012425.490913	1.230534	-20.000000	24.922592	-5.808000E-6	-5.423442E-11	7.899380E-11	-8.281062E-8	-8.279492E-8	-8.278261E-8	-8.277930E-8	-8.279186E-8	-8.278876E-8	-1.999767E-6
2	3720012442.215553	1.253453	-20.000000	24.915953	-5.811000E-6	-5.283260E-11	7.902410E-11	-8.190327E-8	-8.188866E-8	-8.188946E-8	-8.189465E-8	-8.189401E-8	-8.189205E-8	-2.002885E-6
3	3720012457.947186	1.243005	-20.000000	24.893481	-5.812000E-6	-5.493533E-11	7.901390E-11	-8.157348E-8	-8.159080E-8	-8.160268E-8	-8.160670E-8	-8.159341E-8	-8.159674E-8	-2.004600E-6
#Open Capacitance 1000Hz:4.507000E-12
#Open Capacitance 1000000Hz:Not Measured
#34330_048_2-S_HM_XX_Irrad_1100min_Single
#Date/Time: 11/17/2021 11:52:40 AM
#Sensor Name: 34330_048_2-S_HM_XX_Irrad_1100min
#Type: P
#Annealing Status: 1100 min
#Environment: -20.0C
#Tester: Eric Spencer
7	3720012877.848413	1.217548	-20.000000	24.811956	-5.799000E-6	-5.473504E-11	7.901240E-11	-8.094097E-8	-8.094563E-8	-8.095446E-8	-8.096284E-8	-8.095097E-8	-8.095004E-8	-2.002782E-6
8	3720012894.144099	1.231497	-20.000000	24.812413	-5.801000E-6	-5.783908E-11	7.901150E-11	-8.080163E-8	-8.080819E-8	-8.080190E-8	-8.079095E-8	-8.080067E-8	-8.080177E-8	-2.002596E-6
9	3720012909.936572	1.212505	-20.000000	24.822738	-5.797000E-6	-5.753871E-11	7.900980E-11	-8.094890E-8	-8.094679E-8	-8.094614E-8	-8.093405E-8	-8.094397E-8	-8.094646E-8	-2.003154E-6
10	3720012925.959837	1.217334	-20.000000	24.818021	-5.799000E-6	-5.163107E-11	7.901190E-11	-8.063493E-8	-8.063885E-8	-8.064028E-8	-8.064440E-8	-8.063962E-8	-8.063956E-8	-2.004120E-6
11	3720012942.446615	1.212785	-20.000000	24.813184	-5.801000E-6	-5.488526E-11	7.901610E-11	-8.072818E-8	-8.072977E-8	-8.073144E-8	-8.073029E-8	-8.072992E-8	-8.073003E-8	-2.005320E-6
12	3720012958.581952	1.219633	-20.000000	24.822418	-5.796000E-6	-5.528575E-11	7.901450E-11	-8.070356E-8	-8.070184E-8	-8.070213E-8	-8.070703E-8	-8.070364E-8	-8.070284E-8	-2.001691E-6
13	3720012974.436052	1.217457	-20.000000	24.804961	-5.798000E-6	-1.000005E-5	-7.243990E-12	-8.091190E-8	-8.091497E-8	-8.091387E-8	-8.091924E-8	-8.091500E-8	-8.091442E-8	-2.001673E-6
14	3720012990.316378	1.222681	-20.000000	24.791229	-5.798000E-6	-5.498538E-11	7.922800E-11	-8.083013E-8	-8.081820E-8	-8.081172E-8	-8.081973E-8	-8.081994E-8	-8.081897E-8	-2.003272E-6
15	3720013006.692558	1.223217	-20.000000	24.793745	-5.795000E-6	-5.503543E-11	7.920310E-11	-8.065735E-8	-8.063938E-8	-8.062879E-8	-8.062108E-8	-8.063665E-8	-8.063408E-8	-2.005236E-6
16	3720013022.646238	1.217006	-20.000000	24.808488	-5.798000E-6	-5.363364E-11	7.917520E-11	-8.057904E-8	-8.057508E-8	-8.057484E-8	-8.057015E-8	-8.057478E-8	-8.057496E-8	-2.003890E-6
17	3720013038.710193	1.225314	-20.000000	24.828226	-5.793000E-6	-5.258230E-11	7.915120E-11	-8.034702E-8	-8.034465E-8	-8.034767E-8	-8.035768E-8	-8.034926E-8	-8.034735E-8	-2.005790E-6
18	3720013054.769016	1.216688	-20.000000	24.814631	-5.796000E-6	-5.178128E-11	7.912460E-11	-8.041709E-8	-8.041197E-8	-8.041022E-8	-8.040893E-8	-8.041205E-8	-8.041109E-8	-2.003456E-6
19	3720013070.759151	1.212696	-20.000000	24.808647	-5.795000E-6	-5.408423E-11	7.910250E-11	-8.039260E-8	-8.039542E-8	-8.039387E-8	-8.038187E-8	-8.039094E-8	-8.039324E-8	-2.005267E-6
20	3720013086.695888	1.221479	-20.000000	24.799452	-5.796000E-6	-5.103027E-11	7.908590E-11	-8.021340E-8	-8.020286E-8	-8.019170E-8	-8.019102E-8	-8.019974E-8	-8.019728E-8	-2.005912E-6
21	3720013102.754899	1.236497	-20.000000	24.791782	-5.794000E-6	-5.163107E-11	7.907170E-11	-8.011693E-8	-8.011299E-8	-8.011305E-8	-8.012046E-8	-8.011586E-8	-8.011499E-8	-2.004280E-6
