#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.304280E-12
#38212_001_PSS_HM_XX_Unirrad_Interstrip
#Date/Time: 12/8/2021 11:45:26 AM
#Sensor Name: 38212_001_PSS_HM_XX
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Eric Spencer

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
1	3721826795.991330	1.310418	23.500000	27.303478	-4.080000E-9	4.304130E-12	-3.100939E-13	-1.194095E-12	-3.125472E-13	-2.364952E-13	-2.195267E-13	-9.747558E-14
2	3721826831.910900	1.332468	23.500000	27.348719	-4.070000E-9	4.305650E-12	-6.179816E-13	8.876432E-14	8.610677E-14	-2.135978E-13	-3.282890E-13	-1.866117E-13
3	3721826868.208170	1.354226	23.500000	27.384330	-4.070000E-9	4.306360E-12	-6.034662E-13	-1.749586E-13	9.060415E-14	-1.260973E-13	-1.498124E-13	2.077407E-13
#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.312940E-12
#38212_001_PSS_HM_XX_Unirrad_Interstrip
#Date/Time: 12/8/2021 11:49:19 AM
#Sensor Name: 38212_001_PSS_HM_XX
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Eric Spencer
5	3721827173.273023	1.254148	23.500000	27.567278	-4.040000E-9	5.400710E-12	-4.387519E-11	-4.579466E-11	-4.640004E-11	-4.971420E-11	-5.132379E-11	-5.318153E-11
6	3721827209.689709	1.233704	23.500000	27.585509	-4.040000E-9	5.401570E-12	-4.119333E-11	-4.346444E-11	-4.499245E-11	-4.558593E-11	-4.722188E-11	-5.265345E-11
7	3721827245.981496	1.234005	23.500000	27.598587	-4.050000E-9	5.402560E-12	-4.232512E-11	-4.670953E-11	-4.803881E-11	-4.856116E-11	-5.227972E-11	-5.504497E-11
8	3721827282.263288	1.206464	23.500000	27.615730	-4.040000E-9	5.401610E-12	-4.302204E-11	-4.475100E-11	-4.604409E-11	-4.969356E-11	-5.093903E-11	-5.671649E-11
9	3721827318.634554	1.203458	23.500000	27.628353	-4.050000E-9	5.402510E-12	-4.264874E-11	-4.568999E-11	-4.859798E-11	-4.934357E-11	-5.163309E-11	-5.147260E-11
10	3721827354.940907	1.173238	23.500000	27.649636	-4.060000E-9	5.401510E-12	-4.109827E-11	-4.184079E-11	-4.522572E-11	-4.470684E-11	-4.859183E-11	-5.073193E-11
11	3721827391.223803	1.211111	23.500000	27.662873	-4.050000E-9	5.402890E-12	-4.135465E-11	-4.348693E-11	-4.639328E-11	-4.858978E-11	-4.916121E-11	-5.156524E-11
12	3721827427.526488	1.192737	23.500000	27.662317	-4.050000E-9	5.400300E-12	-4.439019E-11	-4.608582E-11	-4.904161E-11	-4.983977E-11	-5.286221E-11	-5.298938E-11
13	3721827463.826838	1.169341	23.500000	27.694875	-4.060000E-9	5.401110E-12	-4.098829E-11	-4.287508E-11	-4.385414E-11	-4.718510E-11	-4.826721E-11	-4.896619E-11
14	3721827500.220749	1.166793	23.500000	27.707301	-4.050000E-9	5.401710E-12	-4.492970E-11	-4.617597E-11	-4.751629E-11	-4.990334E-11	-5.056962E-11	-5.230673E-11
15	3721827536.500992	1.149966	23.500000	27.722738	-4.050000E-9	5.401580E-12	-4.678399E-11	-5.131560E-11	-5.024845E-11	-5.159511E-11	-5.374929E-11	-5.627945E-11
16	3721827572.764800	1.167246	23.500000	27.720104	-4.060000E-9	5.404020E-12	-4.666399E-11	-4.636548E-11	-4.855997E-11	-5.174862E-11	-5.348884E-11	-5.605005E-11
17	3721827609.071498	1.159432	23.500000	27.723909	-4.040000E-9	5.403350E-12	-4.068656E-11	-4.155214E-11	-4.217713E-11	-4.557799E-11	-4.780700E-11	-5.024619E-11
18	3721827645.344189	1.164779	23.500000	27.745052	-4.040000E-9	5.403990E-12	-4.402933E-11	-4.554855E-11	-4.742122E-11	-4.789859E-11	-5.120707E-11	-5.187988E-11
19	3721827681.653041	1.171471	23.500000	27.734569	-4.050000E-9	5.403910E-12	-4.050049E-11	-4.265244E-11	-4.515213E-11	-4.951285E-11	-5.079080E-11	-5.110504E-11
20	3721827718.097325	1.173894	23.500000	27.758073	-4.040000E-9	5.402670E-12	-4.272929E-11	-4.539439E-11	-4.554997E-11	-4.727199E-11	-5.033838E-11	-5.161328E-11
21	3721827754.358484	1.157210	23.500000	27.765740	-4.050000E-9	5.404490E-12	-4.341583E-11	-4.547577E-11	-4.657893E-11	-4.821364E-11	-5.076914E-11	-5.207816E-11
22	3721827790.612716	1.166317	23.500000	27.790055	-4.060000E-9	5.403460E-12	-4.282007E-11	-4.660776E-11	-4.719388E-11	-5.005214E-11	-5.093310E-11	-5.293337E-11
23	3721827826.908955	1.174681	23.500000	27.791603	-4.050000E-9	5.403590E-12	-4.372574E-11	-4.495935E-11	-4.686556E-11	-4.662737E-11	-4.870837E-11	-5.140453E-11
24	3721827863.185026	1.147711	23.500000	27.816769	-4.050000E-9	5.402620E-12	-4.131600E-11	-4.271559E-11	-4.607763E-11	-4.794623E-11	-4.888521E-11	-5.240956E-11
25	3721827899.444983	1.175643	23.500000	27.820078	-4.060000E-9	5.402860E-12	-4.528808E-11	-5.253325E-11	-5.238299E-11	-5.337187E-11	-5.528790E-11	-5.725441E-11
26	3721827935.726605	1.171174	23.500000	27.812826	-4.050000E-9	5.402310E-12	-4.510286E-11	-4.694100E-11	-4.915692E-11	-5.042731E-11	-5.179317E-11	-5.408189E-11
27	3721827972.140854	1.171322	23.500000	27.820553	-4.040000E-9	5.403340E-12	-4.332851E-11	-4.500328E-11	-4.691010E-11	-4.842154E-11	-5.095415E-11	-5.142619E-11
28	3721828008.412825	1.158085	23.500000	27.875447	-4.040000E-9	5.404530E-12	-4.487755E-11	-4.218241E-11	-4.633624E-11	-4.745289E-11	-5.024432E-11	-5.363253E-11
29	3721828044.709025	1.153805	23.500000	27.864605	-4.040000E-9	5.402780E-12	-4.392752E-11	-4.700333E-11	-4.995667E-11	-5.438322E-11	-5.395187E-11	-5.622443E-11
30	3721828080.981643	1.160236	23.500000	27.879925	-4.040000E-9	5.402860E-12	-4.350393E-11	-4.563706E-11	-4.764998E-11	-5.194161E-11	-5.283297E-11	-5.479332E-11
31	3721828117.251968	1.148317	23.500000	27.885434	-4.040000E-9	5.403710E-12	-4.289203E-11	-4.319502E-11	-4.669258E-11	-4.645564E-11	-4.923071E-11	-5.131805E-11
32	3721828153.531528	1.166415	23.500000	27.906995	-4.050000E-9	5.403670E-12	-4.621134E-11	-4.727014E-11	-5.114816E-11	-5.123935E-11	-5.343462E-11	-5.619906E-11
33	3721828189.826904	1.156129	23.500000	27.909034	-4.040000E-9	5.405420E-12	-4.552481E-11	-4.563584E-11	-4.677518E-11	-4.950874E-11	-5.065384E-11	-5.202993E-11
34	3721828226.100331	1.153303	23.500000	27.918922	-4.040000E-9	5.405190E-12	-4.121909E-11	-4.457111E-11	-4.623565E-11	-4.696591E-11	-5.036434E-11	-5.092308E-11
35	3721828262.370302	1.145319	23.500000	27.937530	-4.040000E-9	5.402670E-12	-4.409536E-11	-4.521691E-11	-4.531178E-11	-4.909537E-11	-5.073522E-11	-5.094576E-11
36	3721828298.690854	1.141498	23.500000	27.957366	-4.040000E-9	5.401940E-12	-4.431146E-11	-4.619558E-11	-4.833833E-11	-5.073088E-11	-5.336184E-11	-5.660122E-11
37	3721828334.999252	1.158855	23.500000	27.948291	-4.040000E-9	5.401330E-12	-4.327249E-11	-4.734208E-11	-4.753509E-11	-4.913096E-11	-5.232840E-11	-5.292414E-11
38	3721828371.278553	1.142273	23.500000	27.963512	-4.040000E-9	5.402100E-12	-4.041359E-11	-4.080898E-11	-4.152002E-11	-4.503026E-11	-4.970482E-11	-4.976062E-11
39	3721828407.545635	1.157904	23.500000	27.963590	-4.040000E-9	5.401570E-12	-4.219978E-11	-4.448420E-11	-4.643130E-11	-4.979782E-11	-5.020119E-11	-5.338414E-11
40	3721828443.820946	1.140583	23.500000	27.984795	-4.040000E-9	5.402020E-12	-4.824920E-11	-5.058554E-11	-5.125530E-11	-5.263935E-11	-5.588076E-11	-5.774934E-11
41	3721828480.052301	1.140724	23.500000	27.969990	-4.040000E-9	5.402670E-12	-4.691175E-11	-4.531853E-11	-4.766184E-11	-4.875272E-11	-5.151717E-11	-5.399172E-11
42	3721828516.352769	1.137927	23.500000	27.994543	-4.050000E-9	5.403740E-12	-4.124464E-11	-4.393405E-11	-4.474629E-11	-4.828026E-11	-4.994031E-11	-5.259111E-11
43	3721828552.640927	1.141278	23.500000	28.000309	-4.060000E-9	5.404740E-12	-4.347306E-11	-4.628839E-11	-4.887192E-11	-5.169525E-11	-5.298813E-11	-5.474282E-11
44	3721828588.954089	1.140784	23.500000	28.039270	-4.050000E-9	5.404950E-12	-4.710636E-11	-4.793455E-11	-5.073478E-11	-5.454555E-11	-5.275527E-11	-5.492029E-11
45	3721828625.513763	1.136530	23.500000	28.031540	-4.050000E-9	5.404770E-12	-4.308054E-11	-4.652452E-11	-4.973485E-11	-5.126652E-11	-5.334874E-11	-5.690582E-11
46	3721828661.942690	1.136067	23.500000	28.034712	-4.060000E-9	5.404370E-12	-4.643376E-11	-4.835919E-11	-5.042711E-11	-5.154642E-11	-5.168706E-11	-5.518505E-11
47	3721828698.246334	1.140315	23.500000	28.042499	-4.040000E-9	5.402280E-12	-4.371225E-11	-4.475734E-11	-4.679664E-11	-4.854869E-11	-4.987267E-11	-5.321118E-11
48	3721828734.523114	1.133423	23.500000	28.041904	-4.060000E-9	5.402090E-12	-4.382980E-11	-4.574174E-11	-4.944907E-11	-4.986246E-11	-5.150493E-11	-5.421561E-11
49	3721828770.776870	1.127564	23.500000	28.055639	-4.050000E-9	5.400290E-12	-4.098789E-11	-4.547004E-11	-4.717036E-11	-4.717753E-11	-5.108969E-11	-5.236662E-11
50	3721828807.132855	1.132582	23.500000	28.080668	-4.060000E-9	5.401750E-12	-4.717792E-11	-4.886682E-11	-4.919453E-11	-5.034759E-11	-5.392058E-11	-5.401769E-11
51	3721828843.382314	1.138052	23.500000	28.066774	-4.050000E-9	5.401760E-12	-4.499309E-11	-4.485489E-11	-4.987042E-11	-5.063749E-11	-5.463982E-11	-5.639373E-11
52	3721828879.801139	1.130533	23.500000	28.095470	-4.050000E-9	5.402960E-12	-4.412952E-11	-4.555141E-11	-4.807749E-11	-5.189132E-11	-5.285178E-11	-5.136223E-11
53	3721828916.116758	1.118642	23.500000	28.085442	-4.040000E-9	5.404500E-12	-4.891323E-11	-4.900933E-11	-5.178871E-11	-5.442823E-11	-5.453536E-11	-5.617822E-11
54	3721828952.559249	1.121316	23.500000	28.114374	-4.050000E-9	5.400680E-12	-4.387928E-11	-4.699598E-11	-4.915303E-11	-5.002579E-11	-5.232595E-11	-5.044307E-11
55	3721828988.831145	1.119871	23.500000	28.108847	-4.050000E-9	5.400730E-12	-4.400115E-11	-4.640007E-11	-4.824022E-11	-4.923524E-11	-5.136203E-11	-5.487536E-11
56	3721829025.242593	1.134754	23.500000	28.133081	-4.050000E-9	5.398620E-12	-4.370634E-11	-4.598462E-11	-4.836532E-11	-5.053670E-11	-5.128618E-11	-5.270725E-11
57	3721829061.637242	1.129754	23.500000	28.124125	-4.050000E-9	5.392370E-12	-4.804662E-11	-4.842522E-11	-4.945418E-11	-5.278269E-11	-5.498779E-11	-5.681999E-11
58	3721829098.066200	1.130228	23.500000	28.139047	-4.050000E-9	5.375610E-12	-4.630233E-11	-4.881982E-11	-5.156891E-11	-5.453374E-11	-5.208575E-11	-5.564690E-11
59	3721829134.597029	1.127207	23.500000	28.157792	-4.050000E-9	5.319390E-12	-4.646955E-11	-4.667502E-11	-4.965699E-11	-5.155974E-11	-5.391222E-11	-5.506445E-11
