#Open Capacitance 1000Hz:4.473490E-12
#Open Capacitance 1000000Hz:Not Measured
#38693_001_2-S_HM_XX_Unirrad_Single
#Date/Time: 4/18/2022 11:40:04 AM
#Sensor Name: 38693_001_2-S_HM_XX
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Eric Spencer

#Notes: Diced at Fermilab

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-1.0	I_RBias_V-5.0
1	3733141283.610126	1.357039	23.500000	27.140190	-3.510000E-9	-5.523578E-11	7.890560E-11	-3.375579E-11	-3.395327E-11	-3.346057E-11	-3.397883E-11	-3.378711E-11	-3.385453E-11	-6.651679E-7	-3.324906E-6
2	3733141300.295090	1.358094	23.500000	27.149881	-3.510000E-9	-4.872738E-11	7.890500E-11	-3.163613E-11	-3.148362E-11	-3.195650E-11	-3.157193E-11	-3.166205E-11	-3.160403E-11	-6.660000E-7	-3.329081E-6
3	3733141317.515749	1.310998	23.500000	27.153626	-3.510000E-9	-4.842699E-11	7.890920E-11	-3.103528E-11	-3.187187E-11	-3.110336E-11	-2.998424E-11	-3.099869E-11	-3.106932E-11	-6.649599E-7	-3.323749E-6
4	3733141334.530019	1.251289	23.500000	27.171875	-3.500000E-9	-5.263242E-11	7.891530E-11	-3.085272E-11	-3.035674E-11	-2.863022E-11	-2.958007E-11	-2.985494E-11	-2.996840E-11	-6.658309E-7	-3.328146E-6
5	3733141351.545234	1.279879	23.500000	27.168904	-3.500000E-9	-5.373383E-11	7.892300E-11	-2.709201E-11	-2.720997E-11	-2.590910E-11	-2.505290E-11	-2.631600E-11	-2.650056E-11	-6.655744E-7	-3.326854E-6
6	3733141368.550042	1.254811	23.500000	27.179743	-3.510000E-9	-5.413434E-11	7.892440E-11	-3.122888E-11	-3.120169E-11	-2.951627E-11	-3.086047E-11	-3.070183E-11	-3.103108E-11	-6.652610E-7	-3.325302E-6
7	3733141385.571321	1.254495	23.500000	27.191990	-3.510000E-9	-5.248221E-11	7.892830E-11	-3.337165E-11	-3.304066E-11	-3.285890E-11	-3.634627E-11	-3.390437E-11	-3.320616E-11	-6.644006E-7	-3.321050E-6
8	3733141402.593735	1.285300	23.500000	27.189631	-3.500000E-9	-5.323320E-11	7.893270E-11	-3.257575E-11	-3.345956E-11	-3.281148E-11	-3.254530E-11	-3.284802E-11	-3.269362E-11	-6.639129E-7	-3.318589E-6
9	3733141419.652359	1.288666	23.500000	27.188761	-3.510000E-9	-5.433464E-11	7.894250E-11	-2.713594E-11	-2.713411E-11	-3.062905E-11	-2.716172E-11	-2.801521E-11	-2.714883E-11	-6.647707E-7	-3.322849E-6
10	3733141436.579051	1.248528	23.500000	27.199561	-3.500000E-9	-4.957846E-11	7.894860E-11	-3.175511E-11	-3.202785E-11	-3.420249E-11	-3.289896E-11	-3.272110E-11	-3.246340E-11	-6.640951E-7	-3.319592E-6
11	3733141453.315288	1.269682	23.500000	27.188325	-3.500000E-9	-4.942828E-11	7.895010E-11	-3.646853E-11	-3.405427E-11	-3.247536E-11	-3.167804E-11	-3.366905E-11	-3.326481E-11	-6.641700E-7	-3.319936E-6
12	3733141470.044284	1.303782	23.500000	27.196527	-3.490000E-9	-5.558621E-11	7.895490E-11	-3.059449E-11	-3.085720E-11	-3.155394E-11	-2.982619E-11	-3.070796E-11	-3.072585E-11	-6.634517E-7	-3.316262E-6
13	3733141486.824554	1.252489	23.500000	27.203029	-3.500000E-9	-5.278259E-11	7.895790E-11	-2.966613E-11	-2.964139E-11	-2.849529E-11	-3.028068E-11	-2.952087E-11	-2.965376E-11	-6.642297E-7	-3.320178E-6
14	3733141503.597159	1.329044	23.500000	27.207190	-3.490000E-9	-5.718831E-11	7.896470E-11	-3.415322E-11	-3.208733E-11	-3.188943E-11	-3.210717E-11	-3.255929E-11	-3.209725E-11	-6.636292E-7	-3.317153E-6
15	3733141520.366208	1.314727	23.500000	27.223301	-3.500000E-9	-5.528587E-11	7.896740E-11	-3.052746E-11	-2.912722E-11	-3.212679E-11	-3.026228E-11	-3.051094E-11	-3.039487E-11	-6.632492E-7	-3.315241E-6
16	3733141537.282725	1.313068	23.500000	27.220784	-3.490000E-9	-5.458493E-11	7.896580E-11	-3.766310E-11	-3.487778E-11	-3.518158E-11	-3.488677E-11	-3.565231E-11	-3.503418E-11	-6.625384E-7	-3.311749E-6
